IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
63,6449023,CLUB ATLETICO ALMA JUNIORS,MORENO 2091,ESPERANZA,Santa Fe,0,1,1,0,Lun. a Vie. 07:30hs a 12:30hs y 15:30hs a 19:30hs,Sáb. 08:30hs a 11:30hs ,,-31.44857988,-60.93241976
514,9902311,CORREO ESPERANZA,GRAL. SAN MARTIN 1231,ESPERANZA,Santa Fe,1,0,1,0,Lun. a Vie. 07:30hs a 13:00hs y 17:00hs a 20:00hs,,,-31.45624341,-60.93266098
1991,6449251,MUTUAL CLUB ATL.JUVENTUD UNIDA(ESPERANZA,AARON CASTELLANOS 1798,ESPERANZA,Santa Fe,0,1,1,0,Lun. a Vie. 07:30hs a 12:00hs y 16:30hs a 19:30hs,,,-31.44910459,-60.93339629
2239,8149252,KE FACIL (ESPERANZA),25 DE MAYO 1414,ESPERANZA,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 12:00hs ,,-31.448274,-60.929249
2139,6149282,MANECO,HOEHENFELS 1370,ESPERANZA,Santa Fe,0,1,1,0,Lun. a Vie. 07:00hs a 13:30hs y 16:00hs a 22:00hs,Sáb. 07:00hs a 13:30hs y 16:00hs a 22:00hs,,-31.45221227,-60.94494141
2473,8149274,CREDIFE (ESPERANZA),SARMIENTO 1960,ESPERANZA,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 08:30hs a 12:30hs ,,-31.449479,-60.931721
3186,12249120,TELECABINAS LA ESQUINA,SIMON DE IRIONDO 4508,ESPERANZA,Santa Fe,0,0,1,0,Lun. a Vie. 07:30hs a 13:30hs y 17:00hs a 22:30hs,Sáb. 07:30hs a 13:30hs y 17:00hs a 22:30hs,,-31.462237,-60.934467
3598,6449313,ASOCIACION ARGENTINA DE SOCORROS MUTUOS,3 DE FEBRERO 1569,ESPERANZA,Santa Fe,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs ,,,-31.447041,-60.930515
4986,9749329,AUTOSERVICIO LA SILVIA,ALBERDI 1667,ESPERANZA,Santa Fe,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:30hs a 19:00hs,,,-31.453256,-60.92848
5097,8149437,ORGANIZACION MARCUZZI,BELGRANO 1546,ESPERANZA,Santa Fe,1,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 15:30hs a 19:30hs,Sáb. 08:00hs a 12:00hs ,,-31.453865,-60.930794
