IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
465,9902261,CORREO RAFAELA,DR. MARIANO MORENO 104,RAFAELA,Santa Fe,1,0,1,0,Lun. a Vie. 07:30hs a 13:00hs y 17:00hs a 20:00hs,,,-31.25145369,-61.49265671
1096,5349121,SUPER MAGGI,LAS HERAS 602,RAFAELA,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 13:30hs y 16:30hs a 21:30hs,,,-31.256414,-61.485839
1428,7049765,KIOSCO ROCA,BV. ROCA 470,RAFAELA,Santa Fe,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 15:00hs a 20:00hs,Sáb. 08:00hs a 13:00hs y 15:00hs a 20:00hs,,-31.25172468,-61.49691345
2416,8149265,CREDIFE (RAFAELA),9 DE JULIO 114,RAFAELA,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 08:30hs a 12:30hs ,,-31.253846,-61.491009
2179,6449260,MUTUAL DE INT.DEL PODER JUD.(RAFAELA),SAAVEDRA 162,RAFAELA,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs ,,,-31.25438349,-61.49011949
2643,8149275,EMILIANO C. MONTAGNA,ALMAFUERTE 527,RAFAELA,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 12:00hs ,,-31.244718,-61.495937
2480,9849113,MINIMERCADO RIPAMONTI & ESPANA,AV. BRASIL 1302,RAFAELA,Santa Fe,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:30hs a 22:00hs,Sáb. 09:00hs a 13:00hs y 16:30hs a 22:00hs,Dom. 09:30hs a 12:30hs y 18:00hs a 22:00hs,-31.24588,-61.474727
2746,10249691,QUINIELA SAN EXPEDITO,SALVA 1319,RAFAELA,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 13:30hs y 16:00hs a 20:30hs,Sáb. 08:00hs a 13:30hs y 16:00hs a 20:30hs,,-31.240967,-61.503136
3218,12049691,KIOSCO EL GRINGO,RIO DE JANEIRO 208,RAFAELA,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 23:55hs ,Sáb. 09:00hs a 23:55hs ,Dom. 11:00hs a 23:55hs ,-31.258843,-61.464815
3226,10249768,AGENCIA LOS PRIMOS,3 DE FEBRERO 991,RAFAELA,Santa Fe,0,1,1,0,Lun. a Vie. 09:00hs a 13:30hs y 16:30hs a 20:00hs,Sáb. 09:00hs a 14:00hs y 16:30hs a 20:30hs,,-31.242875,-61.49257
3251,9849133,LOS AMIGOS,ARIAS 191,RAFAELA,Santa Fe,0,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 16:00hs a 19:00hs,Sáb. 09:00hs a 12:00hs ,,-31.23031,-61.484992
3276,12049731,MEGADRUGSTORE SIGLO XXI,ZURBRIGEN 865,RAFAELA,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 22:00hs,Sáb. 08:00hs a 13:00hs ,,-31.228718,-61.476158
3091,10249738,VIRGEN DE LUJAN,LAS HERAS 202,RAFAELA,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 20:30hs,,,-31.255671,-61.490409
3654,12049954,LO QUIERO YA,AV. MITRE 1210,RAFAELA,Santa Fe,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 19:00hs,,,-31.251364,-61.474679
4515,6449343,CLUB ATL SAN JORGE M Y S (RAFAELA),SARGENTO CABRAL 108,RAFAELA,Santa Fe,0,1,1,0,Lun. a Vie. 07:30hs a 12:00hs ,,,-31.254177,-61.488811
4750,10349118,SCHABERGER CRISTIAN - LOCAL RAFAELA,SARMIENTO 169 LOCAL 3,RAFAELA,Santa Fe,1,0,1,0,Lun. a Vie. 08:00hs a 17:00hs ,,,-31.250997,-61.489479
4998,8159256,AGL ANGELINI SEGUROS,AV. ERNESTO SALVA 125,RAFAELA,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-31.24322,-61.490753
5839,8149570,PRODUCTOR ASESOR DE SEGUROS,MAIPU 392,RAFAELA,Santa Fe,1,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 16:00hs a 19:00hs,,,-34.486225,-58.502712
5244,8159320,AGL PRODUCTORES DE SEGUROS ARIETTO,LAVALLE 499,RAFAELA,Santa Fe,0,0,1,0,Lun. a Vie. 09:00hs a 12:00hs y 16:00hs a 19:00hs,,,-31.248478,-61.489455
