IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
387,9902172,CORREO CENTRAL ROSARIO,CORDOBA 721,ROSARIO,Santa Fe,1,0,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-32.94757114,-60.63297951
478,9902274,CORREO ROSARIO - 2,CORDOBA 2401,ROSARIO,Santa Fe,1,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-32.943284,-60.656034
481,9902277,CORREO ROSARIO - 15,PARAGUAY 818,ROSARIO,Santa Fe,1,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-32.94566676,-60.64378512
483,9902279,CORREO ROSARIO - 9,AV. BAT.DE AYACUCHO 5516,ROSARIO,Santa Fe,1,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-33.00075186,-60.63616586
484,9902280,CORREO ROSARIO - 12,MENDOZA 4588,ROSARIO,Santa Fe,1,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-32.94302394,-60.6869471
485,9902281,CORREO ROSARIO - 16,AVELLANEDA 2215,ROSARIO,Santa Fe,1,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-32.955907,-60.68324942
526,9902323,CORREO ROSARIO - 1,L. N. ALEM 1751,ROSARIO,Santa Fe,1,0,1,0,Lun. a Vie. 08:00hs a 18:00hs ,,,-32.95969912,-60.63108943
527,9902324,CORREO ROSARIO - 3,AV. CORRIENTES 1676,ROSARIO,Santa Fe,1,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-32.95629978,-60.64502047
528,9902325,CORREO ROSARIO - 4,AV. OVIDIO LAGOS 182,ROSARIO,Santa Fe,1,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-32.93500724,-60.65962261
529,9902326,CORREO ROSARIO - 5,AV. OVIDIO LAGOS 1199,ROSARIO,Santa Fe,1,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-32.947189,-60.662597
530,9902327,CORREO ROSARIO - 6,AV. JUAN B. ALBERDI BIS 967,ROSARIO,Santa Fe,1,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-32.91650962,-60.684634
531,9902328,CORREO ROSARIO - 8,GRAL.JOSE RONDEAU 1144,ROSARIO,Santa Fe,1,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-32.90321271,-60.68951557
532,9902329,CORREO ROSARIO - 10,AV. MENDOZA 6365,ROSARIO,Santa Fe,1,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-32.94013729,-60.70864002
533,9902330,CORREO ROSARIO - 11,ESPANA 898,ROSARIO,Santa Fe,1,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-32.94602533,-60.64679553
534,9902331,CORREO ROSARIO - 13,BALCARCE 1651,ROSARIO,Santa Fe,1,0,1,0,Lun. a Vie. 07:15hs a 13:00hs ,,,-32.95433545,-60.65443084
535,9902332,CORREO ROSARIO - 14,ENTRE RIOS 3502,ROSARIO,Santa Fe,1,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-32.977485,-60.648904
536,9902333,CORREO ROSARIO - 17,AV. EVA PERON 7003,ROSARIO,Santa Fe,1,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-32.93246108,-60.71656455
537,9902334,CORREO ROSARIO - 18,AV. OVIDIO LAGOS 5501,ROSARIO,Santa Fe,1,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-33.002092,-60.675421
220,5207078,AXION CAFFERATA (938),CAFFERATA 802,ROSARIO,Santa Fe,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-32.940624,-60.671102
221,5207079,AXION FISHERTON (428),AV. EVA PERON 8159,ROSARIO,Santa Fe,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-32.92859767,-60.73806067
223,5207082,AXION EL BOULEVARD (903),BOULEVARD AVELLANEDA 1698,ROSARIO,Santa Fe,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-32.94983712,-60.68175437
224,5207085,AXION OVIDIO LAGOS (908),CORDOBA 2790,ROSARIO,Santa Fe,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-32.94225947,-60.66120886
225,5207086,AXION ROSARIO SUR (914),BOULEVARD ORONO 6190,ROSARIO,Santa Fe,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-33.00927988,-60.66490053
886,7049171,MINISHOP FLORIDA,RICARDO NUNEZ 516,ROSARIO,Santa Fe,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:30hs a 20:00hs,Sáb. 09:30hs a 13:00hs y 16:30hs a 20:00hs,Dom. 10:30hs a 12:30hs ,-32.88459429,-60.69320371
1078,90017004,C.S. SHOPPING PALACE GARDEN ROSARIO,CORDOBA 1358-64,ROSARIO,Santa Fe,1,1,1,0,Lun. a Vie. 09:00hs a 20:30hs ,Sáb. 09:00hs a 20:00hs ,,-32.94576586,-60.64169243
1190,5349148,MINIMERCADO CASAPUEBLO,CORRIENTES 1292,ROSARIO,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 08:30hs a 11:00hs ,,-32.95190051,-60.64391014
1205,5349159,MINIMERCADO MULTISERVICIOS,DIAZ VELEZ 155 BIS,ROSARIO,Santa Fe,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 18:00hs,Sáb. 09:00hs a 13:00hs ,,-32.92750017,-60.6845965
913,10249181,AGENCIA DANI,CORRIENTES 3401,ROSARIO,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:30hs a 20:30hs,,,-32.976114,-60.6499
985,5449301,ARTICULOS DEL HOGAR PROVEEDURIA TOTAL,OVIDIO LAGOS 4865,ROSARIO,Santa Fe,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 20:30hs,Sáb. 09:00hs a 13:00hs ,,-32.99446225,-60.67391833
1011,5207100,AXION LA BANDERA (964),SAN MARTIN 1983,ROSARIO,Santa Fe,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-32.96084094,-60.63993727
1352,6149211,AUTOSERVICIO CACHO,ITUZAINGO 5376,ROSARIO,Santa Fe,1,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:30hs a 20:00hs,Sáb. 08:30hs a 13:00hs y 17:30hs a 20:00hs,,-32.95175,-60.696441
1234,8949333,TELECENTRO 27,AV. SAN MARTIN 2647,ROSARIO,Santa Fe,1,1,1,0,Lun. a Vie. 08:00hs a 18:30hs ,,,-32.96846712,-60.64193376
1266,8949353,TRIBECA,MENDOZA 985,ROSARIO,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 20:30hs ,,,-32.9518046,-60.6376584
1278,6401004,CAJA MUTUAL SAN CRISTOBAL IV,MENDOZA 4001,ROSARIO,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs ,,,-32.944525,-60.679093
1342,8949397,TELECENTRO MAYORCA,MONTEVIDE0 1707 PB,ROSARIO,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,,-32.95469141,-60.6490499
1699,7049971,DRUGSTORE JUNIN,JUNIN 1971,ROSARIO,Santa Fe,0,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 20:00hs ,,-32.92705271,-60.69080486
1755,9449018,VIRTUAL IMPRESIONES,CORDOBA 3160,ROSARIO,Santa Fe,1,1,1,0,Lun. a Vie. 09:00hs a 18:00hs ,,,-32.94135724,-60.66627559
1783,7549780,EL GAUCHITO,BOULEVARD SEGUI 1273,ROSARIO,Santa Fe,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:30hs,Sáb. 09:00hs a 13:00hs y 16:00hs a 20:30hs,,-32.978513,-60.648719
1564,8949452,ANSICO CENTER,PARAGUAY 1441,ROSARIO,Santa Fe,1,1,1,0,Lun. a Vie. 10:00hs a 17:30hs ,Sáb. 09:00hs a 12:30hs ,,-32.953252,-60.645688
1569,8949453,TELECENTRO ARIJON,ARIJON 1686,ROSARIO,Santa Fe,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 15:00hs a 20:00hs,Sáb. 08:00hs a 13:00hs ,,-33.00329729,-60.65736314
1570,8949454,TELECENTRO SEGUI,BOULEVARD SEGUI 1902,ROSARIO,Santa Fe,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 15:00hs a 20:00hs,Sáb. 08:00hs a 13:00hs ,,-32.977167,-60.657461
1571,8949455,TELECENTRO GODOY,PTE. PERON 3635,ROSARIO,Santa Fe,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 15:30hs a 20:30hs,Sáb. 09:00hs a 13:00hs ,,-32.95694829,-60.67695822
1989,8149219,SEGURO METAL,EVA PERON 4861,ROSARIO,Santa Fe,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 15:00hs a 19:00hs,Sáb. 08:00hs a 14:00hs ,,-32.93729908,-60.68944198
2007,10249611,REC012 AGENCIA GENOVA,AV. GENOVA 1001,ROSARIO,Santa Fe,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 15:00hs a 18:00hs,Sáb. 09:00hs a 13:00hs ,,-32.915056,-60.677842
2059,90001104,C.S. CARREFOUR ROSARIO CENTRO,AV. PELLEGRINI 3250,ROSARIO,Santa Fe,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 13:00hs ,,-32.95192237,-60.6702262
2061,90001106,C.S. CARREFOUR ROSARIO FISHERTON,AV. CIRCUNVALACION 1977 BIS,ROSARIO,Santa Fe,1,1,1,0,Lun. a Vie. 09:00hs a 20:30hs ,Sáb. 09:00hs a 17:00hs ,,-32.908601,-60.726103
2062,90001107,C.S. CARREFOUR ROSARIO PUEYRREDON,PUEYRREDON 747,ROSARIO,Santa Fe,1,1,1,0,Lun. a Vie. 09:00hs a 20:00hs ,Sáb. 09:00hs a 17:00hs ,,-32.9423,-60.6571
2063,90001108,C.S. CARREFOUR ROSARIO SUR,NECOCHEA 2579,ROSARIO,Santa Fe,1,1,1,0,Lun. a Vie. 10:00hs a 15:30hs y 16:30hs a 19:00hs,Sáb. 10:00hs a 14:00hs ,,-32.96985439,-60.6293339
1813,6449236,MUTUAL 23 DE JULIO,SAN MARTIN 2383,ROSARIO,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 17:00hs ,Sáb. 09:00hs a 13:00hs ,,-32.96543329,-60.64106896
2298,90001180,C.S. CARREFOUR ROSARIO VILLAGE,EVA PERON 5856,ROSARIO,Santa Fe,1,1,1,0,Lun. a Vie. 10:00hs a 19:00hs ,Sáb. 10:00hs a 14:00hs ,,-32.9348,-60.7031
2367,11649304,CIBERESPACIO,JUAN JOSE PASO 5518,ROSARIO,Santa Fe,0,1,1,0,Lun. a Vie. 10:00hs a 20:00hs ,Sáb. 10:00hs a 20:00hs ,,-32.919758,-60.6993303
2407,8021002,VITACOM MI RECARGA MCM (002),CORDOBA 2035,ROSARIO,Santa Fe,0,0,1,0,Lun. a Vie. 09:00hs a 18:00hs ,Sáb. 09:00hs a 18:00hs ,,-32.94414,-60.651145
2210,8118029,COREFIN (ROSARIO),CORDOBA 1120,ROSARIO,Santa Fe,0,0,1,0,Lun. a Vie. 09:00hs a 19:30hs ,Sáb. 09:30hs a 13:00hs ,,-32.94636761,-60.63841969
2425,8118040,COREFIN (ROSARIO II),AV. SAN MARTIN 5224,ROSARIO,Santa Fe,0,0,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs ,,-32.997851,-60.648235
2439,12049453,MAXIKIOSCO MARTINEZ,SAN JUAN 788,ROSARIO,Santa Fe,0,1,1,0,Lun. a Vie. 08:30hs a 18:00hs ,Sáb. 08:30hs a 18:00hs ,,-32.950902,-60.634826
2479,8949536,TELECENTRO FLORIDA,IRIGOYEN 801,ROSARIO,Santa Fe,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs y 16:30hs a 20:30hs,,-32.884408,-60.695783
2483,10249682,AGENCIA LOTERIA MAGO,ENTRE RIOS 2290,ROSARIO,Santa Fe,1,1,1,0,Lun. a Vie. 08:30hs a 20:30hs ,Sáb. 08:30hs a 20:30hs ,,-32.963464,-60.645332
2509,9849114,MINIMARKET DANDIE,BV. SEGUI 895-897,ROSARIO,Santa Fe,1,1,1,0,Lun. a Vie. 08:30hs a 20:30hs ,Sáb. 09:00hs a 17:00hs ,,-32.979746,-60.643591
2865,12049522,AGENCIA DE LOTERIA PALENA,WILDE 844 LOC 419,ROSARIO,Santa Fe,0,1,1,0,Lun. a Vie. 06:00hs a 13:30hs ,,,-32.93813,-60.738582
2887,10249700,AGENCIA DUQUE,ANDRADE 1024,ROSARIO,Santa Fe,0,1,1,0,Lun. a Vie. 10:00hs a 12:00hs y 17:00hs a 19:00hs,,,-32.995597,-60.648101
