IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
489,9902285,CORREO SAN LORENZO (STA FE),AV. GRAL JOSE DE SAN MARTIN 1202,SAN LORENZO,Santa Fe,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 15:30hs a 19:00hs,,,-32.74983,-60.734088
1262,6449161,COOPERATIVA AGUA BARRIO BOUCHARD,LISANDRO DE LA TORRE 230,SAN LORENZO,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs ,,,-32.775953,-60.732488
1302,7049644,COLORIN COLORADO,SAN MARIN 3320,SAN LORENZO,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 22:00hs,Sáb. 08:00hs a 12:00hs ,,-32.728819,-60.733073
2211,8118030,COREFIN (SAN LORENZO),AV. SAN MARTIN 1441,SAN LORENZO,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 20:00hs,Sáb. 09:30hs a 13:00hs ,,-32.747303,-60.734138
2182,7549911,AGENCIA CAMUSSO LUCAS,COLON 1311,SAN LORENZO,Santa Fe,1,1,1,0,Lun. a Vie. 08:00hs a 13:30hs y 16:30hs a 20:30hs,,,-32.747584,-60.728993
2183,7549912,DRUGSTORE SARMIENTO,AV. SAN MARTIN 2889,SAN LORENZO,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 19:30hs,Sáb. 08:00hs a 12:30hs ,,-32.733269,-60.733833
2417,8149267,CREDIFE (SAN LORENZO),SAN MARTIN 1990,SAN LORENZO,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 08:30hs a 12:30hs ,,-32.742284,-60.733979
3421,6449302,MUTUAL PARA EL PERSONAL PETROLERO,SAN MARTIN 1740,SAN LORENZO,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 14:00hs ,,,-32.744564,-60.73401
5691,8149538,SEGUROS MARTINEZ NANZER 1,AV SAN MARTIN 1189,SAN LORENZO,Santa Fe,1,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,,,-32.749941,-60.734264
5898,8159582,AGL SEGUROS COLMEGNA FOSCA,DORREGO 1816,SAN LORENZO,Santa Fe,0,0,1,0,Lun. a Vie. 08:30hs a 12:30hs y 15:30hs a 19:30hs,,,-32.743791,-60.737024
5980,8149609,SFG,SANTIAGO DE ESTERO 459,SAN LORENZO,Santa Fe,1,1,1,0,Lun. a Vie. 09:00hs a 17:00hs ,,,-32.741463,-60.731578
