IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
119,90003006,C. S. WAL MART SANTA FE,"RUTA 168 KM 473,6",SANTA FE,Santa Fe,1,1,1,0,Lun. a Vie. 09:00hs a 22:00hs ,Sáb. 11:00hs a 22:00hs ,Dom. 11:00hs a 22:00hs ,-31.64132,-60.656742
479,9902275,CORREO PEATONAL,LA RIOJA 2558,SANTA FE,Santa Fe,1,0,1,0,Lun. a Vie. 07:30hs a 13:00hs y 17:00hs a 20:00hs,,,-31.64569471,-60.70611157
482,9902278,CORREO SANTA FE - 3,9 DE JULIO 3501,SANTA FE,Santa Fe,1,0,1,0,Lun. a Vie. 07:30hs a 13:00hs y 17:00hs a 20:00hs,,,-31.634829,-60.706009
493,9902289,CORREO SANTA FE,MENDOZA 2430,SANTA FE,Santa Fe,1,0,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-31.649503,-60.705549
509,9902306,CORREO SANTA FE - 1,SAN MARTIN GENERAL JOSE DE 1863,SANTA FE,Santa Fe,1,0,1,0,Lun. a Vie. 07:30hs a 13:00hs y 16:30hs a 19:30hs,,,-31.654037,-60.709011
510,9902307,CORREO SANTA FE - 5,GRAL. PAZ 7276,SANTA FE,Santa Fe,1,0,1,0,Lun. a Vie. 07:30hs a 13:00hs y 17:00hs a 20:00hs,,,-31.605163,-60.675584
511,9902308,CORREO SANTA FE - 6,GRAL. PAZ 5347,SANTA FE,Santa Fe,1,0,1,0,Lun. a Vie. 07:30hs a 13:00hs y 17:00hs a 20:00hs,,,-31.621062,-60.686675
512,9902309,CORREO SANTA FE - 7,ARISTOBULO DEL VALLE 6855,SANTA FE,Santa Fe,1,0,1,0,Lun. a Vie. 07:30hs a 13:00hs y 16:30hs a 19:30hs,,,-31.605153,-60.69293
222,5207081,AXION SANTA FE (422),RUTA 168 KM 476,SANTA FE,Santa Fe,0,0,0,1,Lun. a Vie. 00:00hs a 24:00hs ,Sáb. 00:00hs a 24:00hs ,Dom. 00:00hs a 24:00hs ,-31.640766,-60.673984
727,9902556,CORREO SANTA FE - 4,PTE. BERNARDINO RIVADAVIA 2999,SANTA FE,Santa Fe,1,0,1,0,Lun. a Vie. 07:30hs a 13:00hs y 17:00hs a 20:00hs,,,-31.641708,-60.703009
728,9902558,CORREO SANTA FE - C,MENDOZA 3320,SANTA FE,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-31.64671453,-60.71656643
729,9902559,CORREO SANTA FE - 8,LAMADRID 7699,SANTA FE,Santa Fe,1,0,1,0,Lun. a Vie. 07:30hs a 13:00hs y 17:00hs a 20:00hs,,,-31.592473,-60.713166
1170,7549208,MEGAKIOSCO SANTIAGO,SANTIAGO DEL ESTERO 2786,SANTA FE,Santa Fe,1,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 17:00hs a 20:00hs,,,-31.63729771,-60.70647357
1193,7049451,MEGAKIOSCO LOS ANGELITOS,25 DE MAYO 2601,SANTA FE,Santa Fe,1,1,1,0,Lun. a Vie. 14:00hs a 20:00hs ,,,-31.645779,-60.705776
1346,6149210,EL SELLO DE LA SUERTE,AV. PENALOZA 5597,SANTA FE,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 19:00hs,Sáb. 09:00hs a 13:00hs ,,-31.61310149,-60.71339414
1273,7049601,POLIRUBRO OXIGENO INDUMENTARIA,ZAVALLA 7288,SANTA FE,Santa Fe,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 20:30hs,Sáb. 08:00hs a 13:00hs y 16:00hs a 20:30hs,,-31.59826865,-60.70629712
1275,6401001,CAJA MUTUAL SAN CRISTOBAL,RIVADAVIA 3042,SANTA FE,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs ,,,-31.64123302,-60.70275773
1724,12049004,PUNTA SUR,CRUZ ROJA 1501,SANTA FE,Santa Fe,0,0,1,0,Lun. a Vie. 08:30hs a 23:30hs ,Sáb. 09:00hs a 23:00hs ,Dom. 11:00hs a 23:00hs ,-31.658248,-60.707595
1741,12049024,MAXIKIOSCO ANGELIS,ALVEAR 5401,SANTA FE,Santa Fe,1,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 20:00hs,,,-31.619488,-60.691601
2080,6249065,MARIA AGOSTINA,GUEMES 6301,SANTA FE,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 19:00hs,Sáb. 08:00hs a 13:00hs y 16:00hs a 19:00hs,,-31.612941,-60.681689
1846,8949498,DULCERIAS,BELGRANO 2910 LOC 51-52,SANTA FE,Santa Fe,0,1,1,0,Lun. a Vie. 07:00hs a 21:00hs ,Sáb. 07:00hs a 21:00hs ,Dom. 07:00hs a 21:00hs ,-31.64311545,-60.700796
1907,12049148,LA POSADA DE PERETE,OBISPO GELABERT 2539,SANTA FE,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 13:30hs y 17:00hs a 21:00hs,Sáb. 08:00hs a 13:30hs y 17:00hs a 21:00hs,,-31.63695082,-60.70333708
2329,10249647,AGENCIA NOSEDA,JUAN DEL CAMPILLO 2487,SANTA FE,Santa Fe,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:30hs a 20:30hs,Sáb. 09:00hs a 13:00hs y 17:30hs a 20:30hs,,-31.6303245,-60.7007235
2415,8149264,CREDIFE (SANTA FE),25 DE MAYO 2610,SANTA FE,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 08:30hs a 12:30hs ,,-31.64569,-60.70577
2871,6449280,ASOC MUT.CLUB ATLETICO ARGENTINO III,SAN MARTIN 3042,SANTA FE,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs ,,,-32.731408,-60.733455
3119,10249742,LOS HERMANOS,FACUNDO ZUVIRIA 5097,SANTA FE,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 13:30hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 13:00hs y 16:30hs a 20:30hs,,-31.619563,-60.705691
3012,5849008,CASINO SANTA FE,DIQUE 1- PUERTO SANTA FE,SANTA FE,Santa Fe,0,0,1,0,Lun. a Vie. 10:00hs a 17:00hs ,Sáb. 10:00hs a 17:00hs ,,-31.649436,-60.701212
3567,6449312,AMASOL,25 DE MAYO 2479,SANTA FE,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 15:30hs ,,,-31.647243,-60.706004
3304,5320010,SUPERMAYORISTA VITAL SANTA FE,RUTA NACIONAL 11 KM 477,SANTA FE,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 18:00hs ,Sáb. 08:00hs a 19:00hs ,,-32.923586,-60.789532
3337,8118049,COREFIN (SANTA FE),SAN JERONIMO 2298,SANTA FE,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 20:00hs,,,-31.648975,-60.708655
3341,6449299,MUT. DE INTEGRANTES DEL POD. JUDICIAL SF,SAN MARTIN 1732,SANTA FE,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs ,,,-31.655498,-60.709203
3770,8149324,CREDIFIAR ARISTOBULO,AV. ARISTOBULO DEL VALLE 6786,SANTA FE,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 20:00hs,,,-31.606103,-60.692599
3771,8149325,CREDIFIAR SA,25 DE MAYO 2247,SANTA FE,Santa Fe,0,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 16:00hs a 20:00hs,,,-31.649979,-60.706676
4033,8949556,TELECENTRO GUEMES,GUEMES 7559,SANTA FE,Santa Fe,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 19:00hs,,,-31.601639,-60.678227
4115,6349410,TECHNOZONE I,ARISTOBULO DEL VALLE 6631,SANTA FE,Santa Fe,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 19:00hs,Sáb. 09:00hs a 13:00hs ,,-31.60737,-60.693268
4116,6349411,TECHNOZONE II,GENERAL PAZ 5398,SANTA FE,Santa Fe,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 19:00hs,Sáb. 09:00hs a 13:00hs ,,-31.620705,-60.686034
4140,5849011,CASINO SANTA FE OFICINAS,DIQUE 1-PUERTO SANTA FE,SANTA FE,Santa Fe,0,0,1,0,Lun. a Vie. 10:00hs a 17:00hs ,Sáb. 10:00hs a 17:00hs ,,-31.6491071,-60.700879
3901,9749275,REY ROJO CID,ANGEL CASANELLO 1338,SANTA FE,Santa Fe,1,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 18:00hs a 22:00hs,Sáb. 09:00hs a 13:00hs ,,-31.611963,-60.681791
4522,5349386,EL TRANSITO,BLAS PARERA 7298,SANTA FE,Santa Fe,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 19:30hs,Sáb. 09:00hs a 13:00hs ,,-31.594413,-60.723388
4231,12449133,KIOSCO PUJATO,9 DE JULIO 1893,SANTA FE,Santa Fe,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 19:00hs,Sáb. 09:00hs a 13:00hs ,,-31.653345,-60.711341
4755,10349119,SCHABERGER CRISTIAN - LOCAL SANTA FE,TUCUMAN 2676,SANTA FE,Santa Fe,1,1,1,0,Lun. a Vie. 08:00hs a 17:00hs ,,,-31.646438,-60.707599
4776,10249987,EL BATACAZO I,MITRE 4551,SANTA FE,Santa Fe,1,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:30hs a 20:00hs,,,-31.628194,-60.688412
4828,8159007,AGL OLAGUIBE ASESORES DE SEGUROS,J.M. ZUVIRIA 1453,SANTA FE,Santa Fe,0,0,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 20:00hs,,,-31.620132,-60.685273
4852,10249999,AGENCIA ROMEO,RIVADAVIA 6415,SANTA FE,Santa Fe,1,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-31.609407,-60.693382
5095,8149433,SAN JERONIMO,ARISTOBULO DEL VALLE 4903,SANTA FE,Santa Fe,1,1,1,0,Lun. a Vie. 08:00hs a 20:00hs ,,,-31.62278,-60.699371
5247,8149454,CESAR NEME ORGANIZACION EN SEGUROS,AV. LOPEZ Y PLANES 5130,SANTA FE,Santa Fe,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 19:00hs,,,-31.617693,-60.713081
5258,8149459,ORGANIZACION DE SEGUROS SANTA RITA,AV. BLAS PARERA 8990,SANTA FE,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 20:00hs,,,-31.577649,-60.727616
5299,12449341,TELECENTRO & LIBRERIA INFINITO,FACUNDO ZUVIRIA 5775,SANTA FE,Santa Fe,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:00hs a 20:00hs,,,-31.613096,-60.705474
5318,9749342,KIOSCO CRISTINA,SAAVEDRA 5805,SANTA FE,Santa Fe,1,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,,,-31.6126,-60.70619
5320,8149461,ORGANIZACION ONNEGLIA,PRIMERA JUNTA 2753,SANTA FE,Santa Fe,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 19:00hs,,,-31.647515,-60.70901
5468,12449350,HOMERO DRUGTORE,SAN MARTIN 2038,SANTA FE,Santa Fe,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 09:00hs a 13:00hs ,,-31.65212,-60.708136
4936,8159253,AGL SEGUROS MENDOZA,SAN LUIS 3056,SANTA FE,Santa Fe,0,0,1,0,Lun. a Vie. 09:00hs a 12:00hs y 16:00hs a 18:00hs,,,-31.641352,-60.701442
4953,8149389,VILLARROEL PRODUCTOR ASESOR DE SEGUROS,AMENABAR 2814,SANTA FE,Santa Fe,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 19:00hs,,,-31.658607,-60.713076
4967,8149393,CORAZZA SEGUROS,SAN LORENZO 3398,SANTA FE,Santa Fe,1,1,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:30hs a 19:30hs,Sáb. 08:00hs a 13:00hs ,,-31.634653,-60.714008
