IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
543,9902340,CORREO VENADO TUERTO,SAAVEDRA 497,VENADO TUERTO,Santa Fe,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 16:30hs a 20:00hs,,,-33.74646606,-61.96101396
1131,7049339,KIOSCO ANTOJOS,SAN MARTIN 553,VENADO TUERTO,Santa Fe,1,1,1,0,Lun. a Vie. 07:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 08:00hs a 13:00hs ,,-33.74708559,-61.96359027
1143,6449130,URTUBEY BOCCALINI SRL,CASTELLI 869,VENADO TUERTO,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 15:30hs a 19:30hs,Sáb. 08:00hs a 12:00hs y 15:30hs a 19:30hs,,-33.74368921,-61.96469721
2418,8149268,CREDIFE (VENADO TUERTO),SAN MARTIN 335,VENADO TUERTO,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,Sáb. 08:30hs a 12:30hs ,,-33.749223,-61.9628472
3406,6949479,JOTACE,GARIBALDI 319,VENADO TUERTO,Santa Fe,0,1,1,0,Lun. a Vie. 09:30hs a 13:30hs y 15:00hs a 20:00hs,Sáb. 09:30hs a 13:30hs y 16:00hs a 18:00hs,Dom. 10:00hs a 13:00hs y 16:00hs a 18:00hs,-33.75014,-61.955448
4593,10949035,VETERINARIA BRIDON Z,DORREGO Y MITRE,VENADO TUERTO,Santa Fe,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:00hs a 19:30hs,,,-33.739532,-61.982074
5016,9749331,DESPENSA PINQUE,JUAN B JUSTO 1609,VENADO TUERTO,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 24:00hs ,Sáb. 08:00hs a 24:00hs ,,-33.765345,-61.949343
5781,8159534,AGL SEGUROS MENDOZA VALERIA,CHILE 364,VENADO TUERTO,Santa Fe,0,0,1,0,Lun. a Vie. 08:00hs a 12:30hs y 16:00hs a 19:00hs,,,-33.756193,-61.954164
5158,12449330,MAXIKIOSKO RIVADAVIA,RIVADAVIA 1925,VENADO TUERTO,Santa Fe,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 19:00hs,Sáb. 09:00hs a 13:00hs y 16:00hs a 21:00hs,,-33.7604,-61.976597
4962,8149392,"JAVIER SEJAS ASESOR, PRODUCTOR DE SEGUR.",25 DE MAYO 714,VENADO TUERTO,Santa Fe,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 15:30hs a 19:30hs,Sáb. 08:00hs a 12:00hs ,,-33.745389,-61.966054
