IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
544,9902341,CORREO VILLA G GALVEZ,AV. FILIPPINI 1972,VILLA GOBERNADOR GALVEZ,Santa Fe,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 15:30hs a 19:00hs,,,-33.02431314,-60.63724186
1168,8949294,TELECENTRO AVENIDA SANTA FE,AV. PERON 1801,VILLA GOBERNADOR GALVEZ,Santa Fe,0,1,1,0,Lun. a Vie. 09:00hs a 12:30hs y 16:30hs a 20:00hs,,,-33.021877,-60.621499
2060,9849095,LA GRANJITA,MOSCONI 2067,VILLA GOBERNADOR GALVEZ,Santa Fe,0,1,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:00hs a 20:00hs,Sáb. 08:30hs a 12:30hs y 16:00hs a 20:00hs,,-33.02590087,-60.64075474
1849,12049106,TELECENTRO AVENIDA SANTA FE II,MITRE 1354,VILLA GOBERNADOR GALVEZ,Santa Fe,0,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 16:30hs a 19:00hs,,,-32.94294,-60.638605
2319,12049373,LITTLE MONSTER,17 DE OCTUBRE 1549,VILLA GOBERNADOR GALVEZ,Santa Fe,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs y 17:00hs a 21:00hs,Dom. 10:00hs a 13:00hs ,-33.01897102,-60.60892941
2462,12049460,ANGIE,JEAN JAURES 1603,VILLA GOBERNADOR GALVEZ,Santa Fe,0,1,1,0,Lun. a Vie. 09:00hs a 13:30hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:30hs y 17:00hs a 21:00hs,Dom. 10:00hs a 13:30hs y 18:00hs a 21:00hs,-33.020026,-60.627944
3443,10249807,KIOSCO COCA II,AV. ARGENTINA 507,VILLA GOBERNADOR GALVEZ,Santa Fe,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs y 16:00hs a 20:00hs,,-31.454424,-60.907264
3600,11949334,LA PLAZA,OPPICIS 2074,VILLA GOBERNADOR GALVEZ,Santa Fe,1,1,1,0,Lun. a Vie. 09:00hs a 12:00hs y 16:30hs a 19:30hs,Sáb. 10:00hs a 12:00hs ,,-33.024371,-60.634553
3345,12049771,KIOSCO COCA,ALVEAR 1098,VILLA GOBERNADOR GALVEZ,Santa Fe,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 13:00hs y 16:00hs a 20:00hs,,-33.018613,-60.611374
3761,10249851,AGENCIA POLA,INTENDENTE ANDREU 1705,VILLA GOBERNADOR GALVEZ,Santa Fe,0,1,1,0,Lun. a Vie. 09:00hs a 14:00hs y 16:00hs a 20:00hs,Sáb. 09:00hs a 14:00hs y 16:00hs a 20:00hs,,-33.020821,-60.613485
4534,10249959,EL PELADO,LIBERTAD 115,VILLA GOBERNADOR GALVEZ,Santa Fe,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:00hs a 19:30hs,Sáb. 09:00hs a 12:30hs ,,-33.020243,-60.604773
6059,12449390,MANUCHO,CORRIENTES 455,VILLA GOBERNADOR GALVEZ,Santa Fe,1,1,1,0,Lun. a Vie. 09:00hs a 14:00hs y 16:00hs a 20:30hs,Sáb. 09:00hs a 14:00hs y 16:00hs a 20:30hs,,-33.01007,-60.612845
