IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
453,9902249,CORREO SANTIAGO DEL ESTERO - C,BUENOS AIRES 252,SANTIAGO DEL ESTERO,Santiago del Estero,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-27.788266,-64.256177
1351,8849844,FES COMUNICACIONES Y VENTAS,25 DE MAYO 198,SANTIAGO DEL ESTERO,Santiago del Estero,0,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:30hs,Sáb. 09:00hs a 13:00hs ,,-27.78694765,-64.25552722
1410,8149162,SUCREDITO SANTIAGO DEL ESTERO,9 DE JULIO 31,SANTIAGO DEL ESTERO,Santiago del Estero,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs ,,-27.78977547,-64.25942798
1258,90003023,C. S. CHANGO MAS STGO DEL ESTERO,AV. BELGRANO 2622,SANTIAGO DEL ESTERO,Santiago del Estero,1,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 08:00hs a 22:00hs ,-27.80802014,-64.24891848
1613,8118020,COREFIN (SANTIAGO DEL ESTERO),INDEPENDENCIA 28 PB,SANTIAGO DEL ESTERO,Santiago del Estero,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs ,,-27.78709414,-64.25922949
2009,12049194,EL REFUGIO PLAY,24 DE SEPTIEMBRE 251 LOC 3,SANTIAGO DEL ESTERO,Santiago del Estero,0,1,1,0,Lun. a Vie. 09:00hs a 24:00hs ,,,-27.78989351,-64.258594
4002,7449127,MIMAS CHIC,LOTE 18 MZA 13 B¿ MARIANO MORENO,SANTIAGO DEL ESTERO,Santiago del Estero,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 22:00hs,Sáb. 09:00hs a 13:00hs y 17:00hs a 22:00hs,Dom. 18:00hs a 21:00hs ,-27.822308,-64.264846
6634,,CORREO TRIBUNALES SGO. DEL ESTERO,ABSALON ROJAS  545,SANTIAGO DEL ESTERO,Santiago del Estero,1,0,0,0,Lun. a Vie. 0800 A 1300 1700 A 2000,,,-27.781654,-64.265429
5071,5349391,LOS PRIMOS,FORMOSA 396,SANTIAGO DEL ESTERO,Santiago del Estero,1,1,1,0,Lun. a Vie. 08:30hs a 14:00hs y 18:00hs a 22:30hs,Sáb. 08:30hs a 14:00hs y 18:00hs a 22:30hs,Dom. 08:30hs a 14:00hs y 18:00hs a 22:30hs,-27.784202,-64.272188
5076,5349392,LOS PRIMOS 2,AGUIRRE SUR 851,SANTIAGO DEL ESTERO,Santiago del Estero,1,1,1,0,Lun. a Vie. 08:30hs a 14:00hs y 18:00hs a 22:30hs,Sáb. 08:30hs a 14:00hs y 18:00hs a 22:30hs,Dom. 08:30hs a 14:00hs y 18:00hs a 22:30hs,-27.811044,-64.2662
5256,11649353,CIBER APPLE,AV BELGRANO SUR 632,SANTIAGO DEL ESTERO,Santiago del Estero,1,1,1,0,Lun. a Vie. 08:00hs a 24:00hs ,Sáb. 08:00hs a 24:00hs ,,-27.790187,-64.259466
4886,12449286,LA BODEGA,AV BELGRANO SUR 3375,SANTIAGO DEL ESTERO,Santiago del Estero,1,1,1,0,Lun. a Vie. 08:00hs a 24:00hs ,Sáb. 08:00hs a 20:00hs ,Dom. 09:30hs a 14:00hs ,-27.814819,-64.248688
