IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
385,9902170,CORREO TUCUMAN - C,PROVINCIA DE CORDOBA 540,SAN MIGUEL DE TUCUMAN,Tucumán,1,0,1,0,Lun. a Vie. 08:00hs a 13:30hs y 17:00hs a 20:00hs,,,-26.827048,-65.204107
752,9902586,CORREO TUCUMAN - 1,AV. BME MITRE 815,SAN MIGUEL DE TUCUMAN,Tucumán,1,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 20:00hs,,,-26.81732,-65.215451
753,9902587,CORREO TUCUMAN - 2,AV. L. N. ALEM 340,SAN MIGUEL DE TUCUMAN,Tucumán,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-26.832984,-65.21945
754,9902588,CORREO TUCUMAN - 3,AV. PTE GRAL J. A. ROCA 483,SAN MIGUEL DE TUCUMAN,Tucumán,1,0,1,0,Lun. a Vie. 08:00hs a 13:00hs y 17:00hs a 20:00hs,,,-26.84329,-65.207222
1069,5249023,ESTACION DE SERVICIO SHELL 2001,AV. EJERCITO DEL NORTE 196,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 08:00hs a 12:00hs y 16:00hs a 20:00hs,,,-26.822266,-65.231499
1178,7049396,DRUGSTORE DE PRIMERA,SANTIAGO DEL ESTERO 713,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 08:00hs a 22:00hs ,Sáb. 08:00hs a 22:00hs ,Dom. 11:00hs a 22:00hs ,-26.82367735,-65.20604604
938,8949164,TELECENTRO CENTENARIO,AV. CORONEL SUAREZ 1102,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,,,-26.820173,-65.177106
972,90015014,C.S. LIBERTAD TUCUMAN II,CASTELAR Y SUIPACHA,SAN MIGUEL DE TUCUMAN,Tucumán,1,1,1,0,Lun. a Vie. 09:00hs a 22:00hs ,Sáb. 09:00hs a 22:00hs ,Dom. 09:00hs a 22:00hs ,-26.795544,-65.208726
1405,8149158,SUCREDITO TUCUMAN,SAN MARTIN 850,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 16:30hs a 21:00hs,Sáb. 09:00hs a 13:00hs ,,-26.82881302,-65.20957843
1462,10249450,QUE PAN 2,MARCOS PAZ 212,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 09:00hs a 21:00hs ,Sáb. 09:00hs a 21:00hs ,Dom. 09:00hs a 21:00hs ,-26.82240322,-65.19796516
1298,5149932,FARMACIA SELECTA,AV. BELGRANO 3901,SAN MIGUEL DE TUCUMAN,Tucumán,1,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs y 17:00hs a 21:00hs,,-26.808888,-65.250997
1721,11849070,FARMACIA SANTA FE SH,SANTA FE 302,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:30hs a 21:00hs,Sáb. 08:30hs a 13:00hs ,,-26.820854,-65.199084
1743,12049028,FARMACIA RUBIS,MANUEL ESTRADA 2326,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 08:30hs a 13:30hs y 17:00hs a 22:00hs,Sáb. 08:30hs a 13:30hs y 17:00hs a 22:00hs,,-26.79711829,-65.22476386
1591,11849033,ORGANIZACION GALVEZ,ALEM 160,SAN MIGUEL DE TUCUMAN,Tucumán,0,0,1,0,Lun. a Vie. 08:30hs a 12:30hs y 16:00hs a 20:30hs,Sáb. 08:00hs a 12:00hs ,,-26.83041765,-65.21885029
1611,8118018,COREFIN (TUCUMAN),PEATONAL MUNECAS 112,SAN MIGUEL DE TUCUMAN,Tucumán,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs ,,-26.8293411,-65.20571522
1615,8118022,COREFIN (CONCEPCION),SAN MARTIN 1471,SAN MIGUEL DE TUCUMAN,Tucumán,0,0,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs ,,-26.82662417,-65.21919367
1951,11949035,KIOSCO BOMBA,PJE CARLOS FINLEY 565,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 09:00hs a 22:00hs ,,,-26.853858,-65.195549
1953,7549867,MC KIOSCO,25 DE MAYO 585,SAN MIGUEL DE TUCUMAN,Tucumán,1,1,1,0,Lun. a Vie. 08:30hs a 13:30hs y 16:30hs a 21:00hs,Sáb. 08:30hs a 13:30hs y 16:30hs a 21:00hs,,-26.82414329,-65.20286686
1969,6749091,PINTURERIA ROCA I,AV. NESTOR KICHNER 1748,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 20:00hs,,,-26.839667,-65.226902
1970,6749092,PINTURERIA ROCA II,AV. EJERCITO DEL NORTE 1558,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 08:30hs a 13:00hs y 17:00hs a 20:00hs,,,-26.8045045,-65.2264455
1985,12049187,MC KIOSCO III,JUJUY 169,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,,,-26.83207422,-65.21132669
1986,12049188,MC KIOSCO IV,CORDOBA 648,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,,,-26.826635,-65.205748
1987,12049189,MC KIOSCO V,SAN LORENZO 497-499,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,,,-26.83375012,-65.20505712
2042,12049204,MC KIOSCO VII,SAN MARTIN 778,SAN MIGUEL DE TUCUMAN,Tucumán,1,1,1,0,Lun. a Vie. 08:00hs a 14:00hs y 17:00hs a 21:00hs,Sáb. 08:00hs a 13:00hs ,,-26.79012249,-65.22241173
2043,12049205,MC KIOSCO I,SAN MARTIN 545,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,,,-26.82965359,-65.20488006
1914,8749029,EDET S.A.,AMADEO JACQUES 92,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 07:00hs a 16:00hs ,,,-26.8493233,-65.2752281
2218,5449405,BRAUDE,MAIPU 166,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 08:30hs a 12:00hs y 17:00hs a 20:00hs,,,-26.82832655,-65.2070661
2148,90001148,C.S. CARREFOUR TUCUMAN III,AV. CATAMARCA 1116,SAN MIGUEL DE TUCUMAN,Tucumán,1,1,1,0,Lun. a Vie. 09:00hs a 22:00hs ,Sáb. 09:00hs a 22:00hs ,,-26.81431814,-65.20851243
2189,12049276,MC KIOSCO VIII,LAPRIDA 213,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,,,-26.82844514,-65.20227194
3149,11949225,MC KIOSCO XV - EX TRIBUNAL DE FALTAS,JUJUY 259,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 09:00hs a 19:30hs ,,,-26.833127,-65.211548
3203,11949231,MC KIOSCO XIV,VIRGEN DE LA MERCED 90,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,,,-26.830604,-65.206045
3022,12049582,MC KIO XI,AV. NESTOR KIRCHNER 3387,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 09:00hs a 19:00hs ,Sáb. 09:00hs a 19:00hs ,,-26.781996,-65.241848
3023,12049583,MC KIO XII,MUNECAS 498,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs y 17:00hs a 21:00hs,Sáb. 09:00hs a 13:00hs ,,-26.8239744,-65.2044561
3024,12049584,MC KIO XIII,GRAL. PAZ 493,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 09:00hs a 13:00hs ,Sáb. 17:00hs a 21:00hs ,,-26.836484,-65.205814
3407,11949286,DRUGSTORE DE PRIMERA II,AV. SALTA 388,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,,,-26.824551,-65.209659
3436,8749121,AVALAR,ALBERDI 225 PISO 1 DTO 1,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 09:30hs a 17:30hs ,,,-26.832362,-65.214915
3485,10349086,OSTENGO ABOGADOS,SAN MARTIN 839 PISO 3 DTO A,SAN MIGUEL DE TUCUMAN,Tucumán,0,1,1,0,Lun. a Vie. 08:00hs a 21:00hs ,Sáb. 09:00hs a 13:00hs ,,-26.828589,-65.20958
