Localidad,Sucursal,Direccion
BANFIELD,MINIMERCADO / ALMACEN Y AFINES,ANTONIO BERUTI 501
BANFIELD,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,AV Sante Fe   1692
BANFIELD,LOCUTORIO/ CIBER,BELGRANO		  1523
BANFIELD,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,CHACABUCO 84
BANFIELD,OTROS,COSQUIN 2647
BANFIELD,LOCUTORIO/ CIBER,DR L DE LA TORRE 1590
BANFIELD,KIOSCO/ MAXIKIOSCO,GRAL MARTIN RODRIGUEZ  1171
BANFIELD,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,GRANADEROS 1046
BANFIELD,AGENCIA DE LOTERIA,JUAN HIPOLITO VIEYTES 710
BANFIELD,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,JUAN HIPOLITO VIEYTES 284
BANFIELD,POLIRUBRO/ MULTIVENTAS,JUAN MANUEL ESTRADA 1299
BANFIELD,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,MAIPU 582
