Localidad,Sucursal,Direccion
BERAZATEGUI,LOCUTORIO/ CIBER,114 478
BERAZATEGUI,AGENCIA DE LOTERIA,24 3228
BERAZATEGUI,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AV FLORENCIO VARELA 871
BERAZATEGUI,AGENCIA DE LOTERIA,AV MITRE 2112
BERAZATEGUI,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,AV. VARELA 3883
BERAZATEGUI,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AVDA 14 4190
BERAZATEGUI,POLIRUBRO/ MULTIVENTAS,AVDA 21 495
BERAZATEGUI,ESTACION DE SERVICIOS-SUCURSAL CON RETIRO DE EFECTIVO,AVDA FLORENCIO VARELA 3601
BERAZATEGUI,MINIMERCADO / ALMACEN Y AFINES,AVDA GDOR DR VALENTIN VERGARA 2724
BERAZATEGUI,ARTICULOS DEL HOGAR,AVENIDA 14 4133
BERAZATEGUI,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 127   5293
BERAZATEGUI,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 13 N° LOC 6  4995
BERAZATEGUI,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 14	  1662
BERAZATEGUI,MINIMERCADO / ALMACEN Y AFINES-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 14   1094
BERAZATEGUI,CENTRO DE COBRO,CALLE 14  3170
BERAZATEGUI,LIBRERIA / JUGUETERIA / COTILLON-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 158 Nº  2275
BERAZATEGUI,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,calle 18		  5318
BERAZATEGUI,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 19 N° 3116 E/131 Y 131A 3116
BERAZATEGUI,AGENCIA DE SEGUROS,CALLE 21 3809
BERAZATEGUI,FARMACIA / PERFUMERIA / LIMPIEZA,CALLE 21 4403
BERAZATEGUI,KIOSCO/ MAXIKIOSCO,CALLE 26 3295
BERAZATEGUI,AGENCIA DE LOTERIA,CALLE 7 503
BERAZATEGUI,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 7 LAVALLE 2858
BERAZATEGUI,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,CALLE N°24  4940
BERAZATEGUI,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,con gral belgrano   2450
BERAZATEGUI,MINIMERCADO / ALMACEN Y AFINES,DEL MAESTRO ARGENTINO (CALLE 124)		  1940
BERAZATEGUI,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,LISANDRO DE LA TORRE S/N LOCAL 7 ESTACION BERAZ 0
BERAZATEGUI,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,MITRE		  1007
BERAZATEGUI,AGENCIA DE LOTERIA,Sarmiento Calle 148  881
