Localidad,Sucursal,Direccion
BERISSO,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,153  ENTRE 9 Y 10  741
BERISSO,AGENCIA DE LOTERIA,171 3407
BERISSO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,AV MONTEVIDEO N° 1192 	  1192
BERISSO,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AV. MONTEVIDEO 2673
BERISSO,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,AVDA MONTEVIDEO 2796
BERISSO,OTROS,AVDA MONTEVIDEO 2367
BERISSO,LOCUTORIO/ CIBER,AVDA MONTEVIDEO 2796
BERISSO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 4  3703
BERISSO,AGENCIA DE LOTERIA,CALLE 7 GENOVA  2404
BERISSO,KIOSCO/ MAXIKIOSCO,MONTEVIDEO		  568
BERISSO,AGENCIA DE SEGUROS,MONTEVIDEO 2352
BERISSO,CENTRO DE COBRO,MONTEVIDEO  2673
