Localidad,Sucursal,Direccion
FLORENCIO VARELA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO, MONTEVIDEO 2306	  2306
FLORENCIO VARELA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,ALBERDI 3190
FLORENCIO VARELA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,ARISTOBULO DEL VALLE 171
FLORENCIO VARELA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,AV SAN MARTIN   2562
FLORENCIO VARELA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AVDA DEL TRABAJO 1890
FLORENCIO VARELA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,AVDA MARIA EVA DUARTE DE PERON 5736
FLORENCIO VARELA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AVENIDA CALCHAQUI 572
FLORENCIO VARELA,AGENCIA DE SEGUROS-SUCURSAL CON RETIRO DE EFECTIVO,BELGRANO 402
FLORENCIO VARELA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 1282 586
FLORENCIO VARELA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 503 N° 2698
FLORENCIO VARELA,LOCUTORIO/ CIBER,EL ALJIBE ESQ EL SONDA 0
FLORENCIO VARELA,KIOSCO/ MAXIKIOSCO,GUIDO SPANO 348
FLORENCIO VARELA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,H YRIGOYEN 2112
FLORENCIO VARELA,AGENCIA DE LOTERIA,RUTA 36  3947
FLORENCIO VARELA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,SAYARES 86
FLORENCIO VARELA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,SENZABELLO  456
FLORENCIO VARELA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,TENIENTE JUAN DOMINGO PERON S/Nº SOBRE ANDEN LOC 0
