Localidad,Sucursal,Direccion
JOSE CLEMENTE PAZ,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,Arregui (ex Florida) 1716
JOSE CLEMENTE PAZ,FINANCIERA,AV J ALTUBE 1709
JOSE CLEMENTE PAZ,MINIMERCADO / ALMACEN Y AFINES,AV PTE ILLIA 8277
JOSE CLEMENTE PAZ,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,AV PTE J D PERON 4487
JOSE CLEMENTE PAZ,SUPERMERCADO/ HIPERMERCADO-SUCURSAL CON RETIRO DE EFECTIVO,AV. Hipolito  Yrigoyen   1826
JOSE CLEMENTE PAZ,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,Av. Potosi 4779
JOSE CLEMENTE PAZ,CENTRO DE COBRO,AVDA CROACIA 1138
JOSE CLEMENTE PAZ,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,BUTLER	  35
JOSE CLEMENTE PAZ,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,Campos Gaspar 6086
JOSE CLEMENTE PAZ,AGENCIA DE LOTERIA,Croacia 262
JOSE CLEMENTE PAZ,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,FLORIDA 2225
JOSE CLEMENTE PAZ,AGENCIA DE LOTERIA,GONZALEZ J V 3338
JOSE CLEMENTE PAZ,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,MELVIN JONES 4916	  4916
JOSE CLEMENTE PAZ,FARMACIA / PERFUMERIA / LIMPIEZA-SUCURSAL CON RETIRO DE EFECTIVO,MUÑOZ 3741
JOSE CLEMENTE PAZ,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,PTE PERON   3703
JOSE CLEMENTE PAZ,AGENCIA DE LOTERIA,RUTA 8 5915
JOSE CLEMENTE PAZ,AGENCIA DE LOTERIA,SARMIENTO (EX J LOPEZ) 5071
JOSE CLEMENTE PAZ,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,ZAPIOLA JOSE M   4975
