Localidad,Sucursal,Direccion
LA PLATA,CENTRO DE COBRO,122 ENTRE CALLES 38 Y 40 0
LA PLATA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,122 Y 32 0
LA PLATA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,13 95
LA PLATA,ARTICULOS DEL HOGAR-SUCURSAL CON RETIRO DE EFECTIVO,137 0
LA PLATA,OTROS,14 ENTRE 80 Y 81 2366
LA PLATA,KIOSCO/ MAXIKIOSCO,143  1563
LA PLATA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,30 N°776  47 Y 48 776
LA PLATA,CENTRO DE COBRO,45 E/2 Y 3 0
LA PLATA,POLIRUBRO/ MULTIVENTAS,46 856
LA PLATA,AGENCIA DE SEGUROS,520 4598
LA PLATA,TELEFONIA CELULAR Y ACCESORIOS,520 N° 4491   4473
LA PLATA,KIOSCO/ MAXIKIOSCO,63  1537
LA PLATA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,66 		  3244
LA PLATA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,AV 1 615
LA PLATA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AV 32 N° 1056 E/ 16 Y 17 1056
LA PLATA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AV 520 N°  ENTRE 7 Y 8  1258
LA PLATA,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,AV 7  1231
LA PLATA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,AV 7 ENTRE 76 Y 77 2186
LA PLATA,KIOSCO/ MAXIKIOSCO,AV. 44 653
LA PLATA,FINANCIERA,AVDA 7 1057
LA PLATA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 1 N°  2226
LA PLATA,LIBRERIA / JUGUETERIA / COTILLON,CALLE 12  2603
LA PLATA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 120 ESQUINA 72 1976
LA PLATA,POLIRUBRO/ MULTIVENTAS,CALLE 122 3182
LA PLATA,AGENCIA DE SEGUROS,Calle 13  543
LA PLATA,AGENCIA DE LOTERIA,CALLE 13 306
LA PLATA,ESTACION DE SERVICIOS-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 13 ESQ. CALLE 71 0
LA PLATA,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 137  10
LA PLATA,LIBRERIA / JUGUETERIA / COTILLON,CALLE 21 2090
LA PLATA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 34 1276
LA PLATA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 419 ESQ. CALLE 10  0
LA PLATA,FINANCIERA,Calle 42 entre 3 y 4 0
LA PLATA,LIBRERIA / JUGUETERIA / COTILLON,CALLE 44 1599
LA PLATA,AGENCIA DE LOTERIA,CALLE 44 3228
LA PLATA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 47 N° 692   692
LA PLATA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 48  817
LA PLATA,CAMARA / ASOCIACION / UNION,CALLE 50 620
LA PLATA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 54 1351
LA PLATA,CENTRO DE COBRO,CALLE 55  894
LA PLATA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 56 978
LA PLATA,BANCO,"Calle 58, nº 838, entre 11 y 12  838"
LA PLATA,POLIRUBRO/ MULTIVENTAS,CALLE 6 E ENTRE 33 Y 34 		  96
LA PLATA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 60 N° 1575 		  1575
LA PLATA,OFICINA COMERCIAL-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 63   2093
LA PLATA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 7  E/ 32 Y 33  43
LA PLATA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 70 705
LA PLATA,AGENCIA DE LOTERIA,CALLE n°31  1496
LA PLATA,SUPERMERCADO/ HIPERMERCADO-SUCURSAL CON RETIRO DE EFECTIVO,CAMINO GRAL. BELGRANO Y CALLE 15 0
LA PLATA,OTROS,DIAG 73 171
LA PLATA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,DIAG 79 891
LA PLATA,POLIRUBRO/ MULTIVENTAS,Diagonal 620  2516
LA PLATA,LUBRICENTRO / NEUMATICOS / REPUESTOS-SUCURSAL CON RETIRO DE EFECTIVO,DIAGONAL 73 2659
LA PLATA,AGENCIA DE LOTERIA,DIAGONAL 74 2131
LA PLATA,OFICINA COMERCIAL,DIAGONAL 77 448
LA PLATA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,PLAZA ITALIA 16
LA PLATA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,PLAZA MATHEU 151
