Localidad,Sucursal,Direccion
MAR DEL PLATA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,12 DE OCTUBRE 3120
MAR DEL PLATA,SUPERMERCADO/ HIPERMERCADO,ALBERTI 2251
MAR DEL PLATA,SUPERMERCADO/ HIPERMERCADO,ALBERTI 6489
MAR DEL PLATA,LOCUTORIO/ CIBER,ALVARADO 		  3073
MAR DEL PLATA,SUPERMERCADO/ HIPERMERCADO,ALVARADO 2238
MAR DEL PLATA,SUPERMERCADO/ HIPERMERCADO,AV COLON 1554
MAR DEL PLATA,SUPERMERCADO/ HIPERMERCADO,AV COLON 3350
MAR DEL PLATA,SUPERMERCADO/ HIPERMERCADO,AV CONSTITUCION 7393
MAR DEL PLATA,SUPERMERCADO/ HIPERMERCADO,AV CONSTITUCION 4386
MAR DEL PLATA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,AV CONSTITUCION 4756
MAR DEL PLATA,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,AV FORTUNATO DE LA PLAZA   4619
MAR DEL PLATA,SUPERMERCADO/ HIPERMERCADO,AV INDEPENDENCIA 1059
MAR DEL PLATA,SUPERMERCADO/ HIPERMERCADO,AV INDEPENDENCIA  3445
MAR DEL PLATA,SUPERMERCADO/ HIPERMERCADO,AV JARA  3550
MAR DEL PLATA,SUPERMERCADO/ HIPERMERCADO,AV JUAN B JUSTO 6550
MAR DEL PLATA,SUPERMERCADO/ HIPERMERCADO,AV LIBERTAD 5750
MAR DEL PLATA,SUPERMERCADO/ HIPERMERCADO,AV LIBERTAD 7388
MAR DEL PLATA,SUPERMERCADO/ HIPERMERCADO,AV LURO 6701
MAR DEL PLATA,POLIRUBRO/ MULTIVENTAS,AV P PERALTA RAMOS 3857
MAR DEL PLATA,SUPERMERCADO/ HIPERMERCADO,AV.  INDEPENDENCIA 4466
MAR DEL PLATA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AV. CONSTITUCION  5680
MAR DEL PLATA,SUPERMERCADO/ HIPERMERCADO,AV. J PERALTA RAMOS 1766
MAR DEL PLATA,SUPERMERCADO/ HIPERMERCADO,AV. JUAN B JUSTO 750
MAR DEL PLATA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AV. MORENO  2332
MAR DEL PLATA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AV.LURO 6951
MAR DEL PLATA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AVDA PATRICIO PERALTA RAMOS 865
MAR DEL PLATA,BANCO,Avda. Colón Nº   6087
MAR DEL PLATA,CENTRO DE COBRO,AVENIDA COLON 6350
MAR DEL PLATA,AGENCIA DE LOTERIA,AVENIDA CONSTITUCION 7850
MAR DEL PLATA,CENTRO DE COBRO,AVENIDA DELLA PAOLER 2130
MAR DEL PLATA,CENTRO DE COBRO,AVENIDA LURO 3330
MAR DEL PLATA,FINANCIERA,Avenida Luro esquina San Juan. 0
MAR DEL PLATA,SUPERMERCADO/ HIPERMERCADO,BALCARCE 3902
MAR DEL PLATA,SUPERMERCADO/ HIPERMERCADO,BELGRANO 4144
MAR DEL PLATA,LOCUTORIO/ CIBER,BUENOS AIRES 1949
MAR DEL PLATA,SUPERMERCADO/ HIPERMERCADO,DIAG.MAR DEL PLATA  9863
MAR DEL PLATA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,DOMINGO FAUSTINO SARMIENTO 2685
MAR DEL PLATA,SUPERMERCADO/ HIPERMERCADO,DORREGO 3592
MAR DEL PLATA,CAMARA / ASOCIACION / UNION,DR M MORENO 2856
MAR DEL PLATA,MINIMERCADO / ALMACEN Y AFINES,ENTRE RIOS 2138
