Localidad,Sucursal,Direccion
MERLO,FARMACIA / PERFUMERIA / LIMPIEZA-SUCURSAL CON RETIRO DE EFECTIVO,25 DE MAYO 		  507
MERLO,POLIRUBRO/ MULTIVENTAS,AV CALLE REAL 390
MERLO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,AV DEL LIBERTADOR 166
MERLO,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,Av el cortijo  1593
MERLO,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,Av Eva Peron 596
MERLO,KIOSCO/ MAXIKIOSCO,AV H YRIGOYEN 701
MERLO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,Av Julian maria Castro  237
MERLO,FINANCIERA,AV LIBERTADOR  674
MERLO,ARTICULOS DEL HOGAR,AV. DEL LIBERTADOR  549
MERLO,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,Av.Jose de San Martin  2874
MERLO,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AVDA DEL LIBERTADOR 758
MERLO,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AVDA JULIAN M CASTRO 1251
MERLO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,Balbin Ricardo 3848
MERLO,AGENCIA DE LOTERIA,DESSY 446
MERLO,CENTRO DE COBRO,DIRECTORIO 24
MERLO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,FRAGA		  602
MERLO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,GDOR MARIANO ACOSTA 2098
MERLO,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,HIPOLITO YRIGOYEN  1188
MERLO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,INDEPENDENCIA 1798
MERLO,CENTRO DE COBRO,PRESIDENTE PERON 25646
MERLO,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,Pte. H. Campora   2247
MERLO,GESTORÍA / ESTUDIO CONTABLE,SARANDI  358
MERLO,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,SARANDI   615
