Localidad,Sucursal,Direccion
MORON,FINANCIERA,9 DE JULIO 144
MORON,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AV RIVADAVIA 17983
MORON,AGENCIA DE SEGUROS-SUCURSAL CON RETIRO DE EFECTIVO,AV. DON BOSCO 4481
MORON,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,BUEN VIAJE		  683
MORON,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,CABILDO 254
MORON,AGENCIA DE SEGUROS,CRISTOBAL COLON 859
MORON,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,DOMINGO FRENCH 383
MORON,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,DR FELIX R BURGOS 1045
MORON,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,EVA PERON   2993
MORON,CAMARA / ASOCIACION / UNION,GRAL MANUEL BELGRANO 314
MORON,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,REP ORIENTAL DEL URUGUAY 14
MORON,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,SAN MARTIN 67
