Localidad,Sucursal,Direccion
SAN JUSTO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,ALMAFUERTE 3293
SAN JUSTO,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,AV BDIER J M DE ROSAS 3969
SAN JUSTO,BANCO,"Av, Brigadier Juan M. de Rosas 3536"
SAN JUSTO,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AVDA MARIA EVA DUARTE DE PERON 297
SAN JUSTO,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,CERVIÑO 3599
SAN JUSTO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,DERQUI 3757
SAN JUSTO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,DR ARTURO HUMBERTO ILLIA 3617
SAN JUSTO,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,DR IGNACIO ARIETA 2776
SAN JUSTO,FINANCIERA,DR IGNACIO ARIETA 3143
SAN JUSTO,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,ENTRE RIOS 2861
SAN JUSTO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,HIPÓLITO YRIGOYEN		  2315
SAN JUSTO,AGENCIA DE LOTERIA,J M DE ROSAS 3684
SAN JUSTO,KIOSCO/ MAXIKIOSCO,JUSTO VILLEGAS 2628
SAN JUSTO,OTROS,MIRO  3451
