Localidad,Sucursal,Direccion
TEMPERLEY,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,	EVA PERON 	   950
TEMPERLEY,CENTRO DE COBRO,ARMESTI 3373
TEMPERLEY,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,AV E PERON 450
TEMPERLEY,KIOSCO/ MAXIKIOSCO,Av. Eva peron 4093
TEMPERLEY,LIBRERIA / JUGUETERIA / COTILLON-SUCURSAL CON RETIRO DE EFECTIVO,AV. EVA PERON 3622  3622
TEMPERLEY,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,CERRITO 1501
TEMPERLEY,AGENCIA DE LOTERIA,DONATO ALVAREZ  1189
TEMPERLEY,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,GABOTO 5195
TEMPERLEY,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,GARIBALDI		  928
TEMPERLEY,SUPERMERCADO/ HIPERMERCADO-SUCURSAL CON RETIRO DE EFECTIVO,H Irigoyen		  10699
TEMPERLEY,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,LA CALANDRIA    2980
TEMPERLEY,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,meeks 1223
TEMPERLEY,CENTRO DE COBRO,SANTA MARIA DE ORO 120
