Localidad,Sucursal,Direccion
VILLA BALLESTER,AGENCIA DE LOTERIA,9 DE JULIO 4713
VILLA BALLESTER,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,ALMIRANTE BROWN  3111
VILLA BALLESTER,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,ALVEAR 2899
VILLA BALLESTER,LIBRERIA / JUGUETERIA / COTILLON-SUCURSAL CON RETIRO DE EFECTIVO,AMERICA  4374
VILLA BALLESTER,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,AV DR R BALBIN 4371
VILLA BALLESTER,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,CORDOBA   4495
VILLA BALLESTER,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,GRAL JOSE GERVASIO ARTIGAS 6032
VILLA BALLESTER,AGENCIA DE LOTERIA,JOSE HERNANDEZ 2990
VILLA BALLESTER,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,LACROZE 5896
VILLA BALLESTER,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,LACROZE 4981 	  4981
VILLA BALLESTER,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,LAMADRID 1471
VILLA BALLESTER,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,LIBERTAD 5417
VILLA BALLESTER,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,MERCEDES (CALLE 27)  3932
VILLA BALLESTER,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,O´DONNELL 4301
VILLA BALLESTER,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,PUEYRREDON 2457
VILLA BALLESTER,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,VICENTE LOPEZ 2932
