Localidad,Sucursal,Direccion
ALMAGRO,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,ACUÑA DE FIGUEROA   879
ALMAGRO,SUPERMERCADO/ HIPERMERCADO-SUCURSAL CON RETIRO DE EFECTIVO,AGÜERO 616
ALMAGRO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,ANGEL GALLARDO 70
ALMAGRO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,AV B RIVADAVIA 4225
ALMAGRO,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,AV CORRIENTES 4577
ALMAGRO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,AV MEDRANO  191
ALMAGRO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,AV. RIVADAVIA  3935
ALMAGRO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,AVDA CORRIENTES 4237
ALMAGRO,CENTRO DE COBRO,BILLINGHURST 741
ALMAGRO,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,BILLINGHURST  429
ALMAGRO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,BULNES 682
ALMAGRO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,CATRO BARROS		  110
ALMAGRO,KIOSCO/ MAXIKIOSCO,DOMINGO FAUSTINO SARMIENTO 4675
ALMAGRO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,M BRAVO 7
ALMAGRO,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,MEDRANO 405
ALMAGRO,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,PTE H YRIGOYEN 4253
ALMAGRO,RIC (RAPIPAGO IN COMPANY),SARMIENTO 4446
ALMAGRO,OFICINA COMERCIAL,Senillosa 1833
