Localidad,Sucursal,Direccion
BALVANERA,OFICINA COMERCIAL,AV B RIVADAVIA 2358
BALVANERA,ARTICULOS DEL HOGAR,AV CORRIENTES 3647
BALVANERA,FINANCIERA,AV CORRIENTES 2587
BALVANERA,CENTRO DE COBRO,AV RIVADAVIA y AV PUEYRREDON S/N EST DE SUBTE PLAZ 1
BALVANERA,AGENCIA DE LOTERIA,AV. BELGRANO 	  3000
BALVANERA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AV. PUEYRREDON 692
BALVANERA,SUPERMERCADO/ HIPERMERCADO-SUCURSAL CON RETIRO DE EFECTIVO,AVDA BERNARDINO RIVADAVIA 2846
BALVANERA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AYACUCHO 374
BALVANERA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,COMBATE DE LOS POZOS 716
BALVANERA,SUPERMERCADO/ HIPERMERCADO-SUCURSAL CON RETIRO DE EFECTIVO,DR ADOLFO ALSINA 2300
BALVANERA,FARMACIA / PERFUMERIA / LIMPIEZA-SUCURSAL CON RETIRO DE EFECTIVO,DR LUIS PASTEUR 625
BALVANERA,FINANCIERA,GRAL BARTOLOME MITRE 2515
BALVANERA,KIOSCO/ MAXIKIOSCO,GRAL BARTOLOME MITRE 1609
BALVANERA,CENTRO DE COBRO,JOSE ANTONIO CABRERA 2962
BALVANERA,FARMACIA / PERFUMERIA / LIMPIEZA-SUCURSAL CON RETIRO DE EFECTIVO,LAVALLE   2000
BALVANERA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,LINEA B-PUEYRREDON LOCAL 10  0
BALVANERA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,MORENO   2889
BALVANERA,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,PICHINCHA 430
BALVANERA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,PRES JOSE E URIBURU 507
BALVANERA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,PRES JOSE E URIBURU 311
BALVANERA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,PRES JOSE E URIBURU  79
BALVANERA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,PTE H YRIGOYEN 1890
BALVANERA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,RODRIGUEZ PEÑA 744
BALVANERA,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,SANCHEZ DE LORIA  184
BALVANERA,SUPERMERCADO/ HIPERMERCADO-SUCURSAL CON RETIRO DE EFECTIVO,TTE GRAL JUAN DOMINGO PERON 1663
BALVANERA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,TUCUMAN 		  2884
