Localidad,Sucursal,Direccion
CABALLITO,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AV. PEDRO GOYENA   408
CABALLITO,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AVDA BERNARDINO RIVADAVIA 6027
CABALLITO,LIBRERIA / JUGUETERIA / COTILLON,CACHIMAYO 291
CABALLITO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,CENTENERA 150
CABALLITO,OTROS,Curapaligue 441
CABALLITO,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,Directorio 753
CABALLITO,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,DR J F ARANGUREN 375
CABALLITO,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,"ESTACION ACOYTE LINEA ""A""  0"
CABALLITO,AGENCIA DE LOTERIA,FORMOSA   194
CABALLITO,AGENCIA DE LOTERIA,FORMOSA  538
CABALLITO,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,JUAN B AMBROSETTI 815
CABALLITO,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,MANUEL HIDALGO Y COSTILLA 318
CABALLITO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,PAYSANDU	  1682
CABALLITO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,RIGLOS   116
CABALLITO,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,Rivadavia  (local 5) 5611
CABALLITO,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,VICTOR MARTINEZ   35
CABALLITO,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,YERBAL 515
