Localidad,Sucursal,Direccion
MONSERRAT,CAMARA / ASOCIACION / UNION,AV BELGRANO 1358
MONSERRAT,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,AV DE MAYO 1282
MONSERRAT,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,AV DE MAYO 899
MONSERRAT,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,AV ENTRE RIOS 754
MONSERRAT,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AVDA MANUEL BELGRANO 1345
MONSERRAT,CAMARA / ASOCIACION / UNION,AZOPARDO 350
MONSERRAT,CAMARA / ASOCIACION / UNION,AZOPARDO 250
MONSERRAT,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,DR A ALSINA 699
MONSERRAT,AGENCIA DE LOTERIA,JULIO ARGENTINO ROCA		  714
MONSERRAT,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,MEXICO 699 		  699
MONSERRAT,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,MORENO   1962
MONSERRAT,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,SAN JOSE  573
MONSERRAT,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,SOLIS 176
MONSERRAT,AGENCIA DE LOTERIA,Tacuari 681
