Localidad,Sucursal,Direccion
RECOLETA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,AV GRAL LAS HERAS 2933
RECOLETA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,AV GRAL LAS HERAS 2368
RECOLETA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,AV PUEYRREDON 1846
RECOLETA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,AVDA CNEL DIAZ 1689
RECOLETA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,AVDA GRAL JUAN GREGORIO DE LAS HERAS 2235
RECOLETA,KIOSCO/ MAXIKIOSCO,AVDA GRAL JUAN MARTIN DE PUEYRREDON 2415
RECOLETA,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,AVDA PTE QUINTANA 558
RECOLETA,KIOSCO/ MAXIKIOSCO,AVDA SANTA FE 3007
RECOLETA,KIOSCO/ MAXIKIOSCO,AYACUCHO 1362
RECOLETA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AYACUCHO 1092
RECOLETA,SUPERMERCADO/ HIPERMERCADO-SUCURSAL CON RETIRO DE EFECTIVO,CHARCAS  2972
RECOLETA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,ECUADOR 1418
RECOLETA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,GRAL MIGUEL DE AZCUENAGA 1091
RECOLETA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,GUIDO 1692
RECOLETA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,JUNCAL  2769
RECOLETA,LIBRERIA / JUGUETERIA / COTILLON-SUCURSAL CON RETIRO DE EFECTIVO,LAPRIDA 1536
RECOLETA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,LAPRIDA 1157
RECOLETA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,LARREA  1431
RECOLETA,AGENCIA DE LOTERIA,NICOLAS RODRIGUEZ PEÃ‘A 1580
RECOLETA,FINANCIERA,PEÑA 2033
RECOLETA,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,Posadas		  1562
