Localidad,Sucursal,Direccion
SAN FDO DEL VALLE DE CATAMARCA,FARMACIA / PERFUMERIA / LIMPIEZA-SUCURSAL CON RETIRO DE EFECTIVO,ALFONZO DE TULA Y SERVIN-ESQUINA LA TOMA-B°AVELLA 390
SAN FDO DEL VALLE DE CATAMARCA,POLIRUBRO/ MULTIVENTAS,AV AHUMADA Y BARROS ESQUINA MENDOZA 5
SAN FDO DEL VALLE DE CATAMARCA,MINIMERCADO / ALMACEN Y AFINES,AV RAMON CORREA 173-BRR LOS TRONCOS E//COLON  0
SAN FDO DEL VALLE DE CATAMARCA,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,AV. OCAMPO 415
SAN FDO DEL VALLE DE CATAMARCA,PUESTO INTERNO,AVDA GRAL MARTIN MIGUEL DE GUEMES 861
SAN FDO DEL VALLE DE CATAMARCA,MINIMERCADO / ALMACEN Y AFINES,AVDA GRAL MARTIN MIGUEL DE GUEMES 56
SAN FDO DEL VALLE DE CATAMARCA,KIOSCO/ MAXIKIOSCO,AVDA MANUEL ACOSTA VILLAFAÃ‘E 1745
SAN FDO DEL VALLE DE CATAMARCA,MINIMERCADO / ALMACEN Y AFINES,AVDA MANUEL BELGRANO 91
SAN FDO DEL VALLE DE CATAMARCA,MINIMERCADO / ALMACEN Y AFINES,AVDA PRES RAMON CASTILLO 1472
SAN FDO DEL VALLE DE CATAMARCA,AGENCIA DE LOTERIA,AVENIDA ALEM		  1425
SAN FDO DEL VALLE DE CATAMARCA,FINANCIERA,Gral. Güemes 856 856
SAN FDO DEL VALLE DE CATAMARCA,OTROS,GUEMES 861
SAN FDO DEL VALLE DE CATAMARCA,FINANCIERA,Güemes 856
SAN FDO DEL VALLE DE CATAMARCA,OTROS,GUEMES 861
SAN FDO DEL VALLE DE CATAMARCA,POLIRUBRO/ MULTIVENTAS,MINISTRO DULCE 20
SAN FDO DEL VALLE DE CATAMARCA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,RIVADAVIA 541
SAN FDO DEL VALLE DE CATAMARCA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,SAN MARTIN 389
SAN FDO DEL VALLE DE CATAMARCA,KIOSCO/ MAXIKIOSCO,TUCUMAN 765
