Localidad,Sucursal,Direccion
RESISTENCIA,PUESTO INTERNO,AV 9 DE JULIO 1896
RESISTENCIA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,AV ALBERDI 981
RESISTENCIA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,AV J JOSE CASTELLI 228
RESISTENCIA,CENTRO DE COBRO,AV. 25 DE MAYO Y CALLE N° 8 (AV. MAC LEAN) 0
RESISTENCIA,CENTRO DE COBRO,AV. MAC LEAN y AV.SOBERANIA   0
RESISTENCIA,MUTUAL / COOPERATIVA,AV. WILDE 87
RESISTENCIA,CENTRO DE COBRO,AV.SARMIENTO 1800
RESISTENCIA,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,AVDA LAS HERAS 764
RESISTENCIA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AVENIDA BELGRANO 736
RESISTENCIA,CENTRO DE COBRO,CARLOS GARDEL 850
RESISTENCIA,CENTRO DE COBRO,CASTELLY AV. Y CALLE 15 0
RESISTENCIA,CENTRO DE COBRO,Deleg. Municipal B°ESPAÑA  0
RESISTENCIA,CENTRO DE COBRO,Deleg. Municipal B°GOLF CLUB 0
RESISTENCIA,CENTRO DE COBRO,Deleg. Municipal B°GUIRALDES 0
RESISTENCIA,CENTRO DE COBRO,Deleg. Municipal B°Malvinas Arg.  0
RESISTENCIA,CENTRO DE COBRO,Deleg. Municipal B°SAN CAYETANO  0
RESISTENCIA,CENTRO DE COBRO,Deleg. Municipal B°VILLA SAN MARTIN  0
RESISTENCIA,CENTRO DE COBRO,FORTIN RIVADAVIA 2500
RESISTENCIA,PUESTO INTERNO,GRAL JOSE MARIA PAZ 2050
RESISTENCIA,CAMARA / ASOCIACION / UNION-SUCURSAL CON RETIRO DE EFECTIVO,GRAL VEDIA 85
RESISTENCIA,KIOSCO/ MAXIKIOSCO,GRAL. JOSE MARIA PAZ 371
RESISTENCIA,CENTRO DE COBRO,ITALIA AV. 102
RESISTENCIA,OTROS,JOSE MARIA PAZ 2050
RESISTENCIA,OTROS,JOSE MARIA PAZ 2050
RESISTENCIA,CENTRO DE COBRO,JUAN B. JUSTO 279
RESISTENCIA,AGENCIA DE SEGUROS,JUAN DOMINGO PERON 1451 PISO 5 DEPTO B 1451
RESISTENCIA,CENTRO DE COBRO,MONTEAGUDO 170
RESISTENCIA,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,NECOCHEA 307
RESISTENCIA,CENTRO DE COBRO,PLAZA 12 DE OCTUBRE  0
RESISTENCIA,CENTRO DE COBRO,PLAZA 9 DE JULIO 0
RESISTENCIA,FINANCIERA,PRES DR ARTURO FRONDIZI 173
RESISTENCIA,SUPERMERCADO/ HIPERMERCADO-SUCURSAL CON RETIRO DE EFECTIVO,Ruta 11 y Av. Marconi 0
RESISTENCIA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,SAENZ PEÑA  112
RESISTENCIA,CENTRO DE COBRO,SAN MARTIN AV. 1045
RESISTENCIA,FINANCIERA,SOB NACIONAL Y MAC LEAN 0
