Localidad,Sucursal,Direccion
VILLA ANGELA,KIOSCO/ MAXIKIOSCO,25 DE MAYO 425
VILLA ANGELA,LOCUTORIO/ CIBER,25 DE MAYO   372
VILLA ANGELA,LOCUTORIO/ CIBER,25 DE MAYO 138
VILLA ANGELA,AGENCIA DE LOTERIA,AV COLON 800
VILLA ANGELA,AGENCIA DE LOTERIA,COBELLO 0
VILLA ANGELA,KIOSCO/ MAXIKIOSCO,ECHEVERRIA  256
VILLA ANGELA,OTROS,GRAL MANUEL BELGRANO 210
VILLA ANGELA,AGENCIA DE LOTERIA,PASTEUR 192
VILLA ANGELA,AGENCIA DE LOTERIA,PERON  529
VILLA ANGELA,KIOSCO/ MAXIKIOSCO,SALTA  265
VILLA ANGELA,LIBRERIA / JUGUETERIA / COTILLON,SAN MARTIN 547
VILLA ANGELA,AGENCIA DE LOTERIA,SAN MARTIN 408
VILLA ANGELA,KIOSCO/ MAXIKIOSCO,SANTA MARIA DE ORO 743
