Localidad,Sucursal,Direccion
VILLA CARLOS PAZ,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,ASUNCION 42
VILLA CARLOS PAZ,FARMACIA / PERFUMERIA / LIMPIEZA,AV 9 DE JULIO 320
VILLA CARLOS PAZ,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,AV. SAN MARTIN  1248
VILLA CARLOS PAZ,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,AV.CARCANO  3107
VILLA CARLOS PAZ,SUPERMERCADO/ HIPERMERCADO,AV.CARCANO  45
VILLA CARLOS PAZ,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,AVDA DR RAMON JOSE CARCANO 994
VILLA CARLOS PAZ,MINIMERCADO / ALMACEN Y AFINES,BRASIL 410
VILLA CARLOS PAZ,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,DR MARIANO MORENO 103
VILLA CARLOS PAZ,MINIMERCADO / ALMACEN Y AFINES-SUCURSAL CON RETIRO DE EFECTIVO,GOBERNADOR ROCA 363
VILLA CARLOS PAZ,TELEFONIA CELULAR Y ACCESORIOS,JUAN B JUSTO 62
VILLA CARLOS PAZ,GESTORÍA / ESTUDIO CONTABLE-SUCURSAL CON RETIRO DE EFECTIVO,MONTEVIDEO 47
VILLA CARLOS PAZ,FINANCIERA,San Martin 450
VILLA CARLOS PAZ,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,SARGENTO CABRAL 146 LOC. 4 146
