Localidad,Sucursal,Direccion
CORRIENTES,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO, BOLIVAR  1077
CORRIENTES,FARMACIA / PERFUMERIA / LIMPIEZA,140 VIV. B° 17 DE AGOSTO C. 28 SEC. 3 MZ.I 0
CORRIENTES,LIBRERIA / JUGUETERIA / COTILLON,25 DE MAYO 1075
CORRIENTES,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,AV 3 DE ABRIL 702
CORRIENTES,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,Av Centenario 3500 Local 47 0
CORRIENTES,FINANCIERA,Av Maipu 0
CORRIENTES,SUPERMERCADO/ HIPERMERCADO-SUCURSAL CON RETIRO DE EFECTIVO,AV MAIPU Y CALLE DELGADO S/N 0
CORRIENTES,KIOSCO/ MAXIKIOSCO,AV. 3 DE ABRIL 1087
CORRIENTES,TELEFONIA CELULAR Y ACCESORIOS,AV. GDOR RUIZ ANTONIO 2266
CORRIENTES,SUPERMERCADO/ HIPERMERCADO-SUCURSAL CON RETIRO DE EFECTIVO,AV. GDOR. JUAN PUJOL   1998
CORRIENTES,FERRETERIA / PINTURERIA / REPUESTOS,AV. INDEPENDENCIA 3158
CORRIENTES,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AV. LIBERTAD LOCAL 2  5377
CORRIENTES,AGENCIA DE SEGUROS,AV. MAIPU 146
CORRIENTES,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,AV. MAIPU 1520
CORRIENTES,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,CATAMARCA 978
CORRIENTES,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,COSQUIN   LOCAL 5 2150
CORRIENTES,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,ESPAÑA 696
CORRIENTES,FARMACIA / PERFUMERIA / LIMPIEZA,GDOR. RUIZ 2496
CORRIENTES,KIOSCO/ MAXIKIOSCO,GUTEMBERG 1887
CORRIENTES,FINANCIERA,JUNIN 1008
CORRIENTES,KIOSCO/ MAXIKIOSCO,MORENO 2180
CORRIENTES,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,PJE. AGUSTIN GONZALEZ  1067
CORRIENTES,KIOSCO/ MAXIKIOSCO,PLACIDO MARTINEZ 1601
CORRIENTES,PUESTO INTERNO,PRES GRAL JULIO ARGENTINO ROCA 1022
CORRIENTES,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,PRES HIPOLITO YRIGOYEN 1679
CORRIENTES,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,PTE H YRIGOYEN 1228
CORRIENTES,CAMARA / ASOCIACION / UNION,RIVADAVIA  933
CORRIENTES,OTROS,ROCA 1022
CORRIENTES,OTROS,ROCA 1022
CORRIENTES,ESTACION DE SERVICIOS,RUTA NAC. 12 KM. 1036 1/2  1036
CORRIENTES,ESTACION DE SERVICIOS,RUTA NAC. Nº 12 KM.  1023
CORRIENTES,ESTACION DE SERVICIOS-SUCURSAL CON RETIRO DE EFECTIVO,"RUTA PROV. Nº 5 KM. 1,2  0"
CORRIENTES,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,SAN LORENZO 1573
CORRIENTES,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,SAN MARTIN 1957
CORRIENTES,POLIRUBRO/ MULTIVENTAS,TENIENTE IBAÑEZ 825
CORRIENTES,FERRETERIA / PINTURERIA / REPUESTOS,Tucuman 1497
