Localidad,Sucursal,Direccion
CONCEPCION DEL URUGUAY,KIOSCO/ MAXIKIOSCO,ADA. BALBIN 1731
CONCEPCION DEL URUGUAY,AGENCIA DE LOTERIA,ALBERDI 2160
CONCEPCION DEL URUGUAY,KIOSCO/ MAXIKIOSCO,ALMAFUERTE 2245
CONCEPCION DEL URUGUAY,MINIMERCADO / ALMACEN Y AFINES,BLVD CONSTITUYENTES 364
CONCEPCION DEL URUGUAY,AGENCIA DE LOTERIA,Bvard Montoneras 		  147
CONCEPCION DEL URUGUAY,OTROS,MAIPU 274
CONCEPCION DEL URUGUAY,POLIRUBRO/ MULTIVENTAS,PABLO LORENTZ 1522
CONCEPCION DEL URUGUAY,MINIMERCADO / ALMACEN Y AFINES,PERU 250
CONCEPCION DEL URUGUAY,KIOSCO/ MAXIKIOSCO,PRES DR ARTURO FRONDIZI 945
CONCEPCION DEL URUGUAY,KIOSCO/ MAXIKIOSCO,San Martin 		  841
CONCEPCION DEL URUGUAY,KIOSCO/ MAXIKIOSCO,San Martin 763
