Localidad,Sucursal,Direccion
CONCORDIA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,1 DE MAYO  174
CONCORDIA,ESTACION DE SERVICIOS,1° DE MAYO  137
CONCORDIA,AGENCIA DE LOTERIA,AV CASTRO 336
CONCORDIA,ESTACION DE SERVICIOS,AV PTE ILLIA 0
CONCORDIA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,B MITRE 391
CONCORDIA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,BUENOS AIRES  57
CONCORDIA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,Bv SAN LORENZO (OESTE)		  462
CONCORDIA,KIOSCO/ MAXIKIOSCO,CARRIEGO  152
CONCORDIA,ESTACION DE SERVICIOS,G. GOYA  414
CONCORDIA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,LAS HERAS		  27
CONCORDIA,KIOSCO/ MAXIKIOSCO,PERU 678
CONCORDIA,CAMARA / ASOCIACION / UNION,URQUIZA 827
