Localidad,Sucursal,Direccion
PARANA,POLIRUBRO/ MULTIVENTAS,25 DE MAYO  140
PARANA,KIOSCO/ MAXIKIOSCO,Alem    22
PARANA,MINIMERCADO / ALMACEN Y AFINES,AMEGHINO  295
PARANA,KIOSCO/ MAXIKIOSCO,Antonio Crespo		  11
PARANA,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,AV RAMIREZ 2350
PARANA,CENTRO DE COBRO,AVDA CDORO PEDRO LUIS ZANNI 2946
PARANA,LOCUTORIO/ CIBER,BLAS  PARERA		  415
PARANA,PUESTO INTERNO,BV BARTOLOME MITRE 300
PARANA,AGENCIA DE LOTERIA,CARBO 258
PARANA,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,ESPAÑA 306	  306
PARANA,POLIRUBRO/ MULTIVENTAS,FRATERNIDAD		  1486
PARANA,AGENCIA DE LOTERIA,GARRIGO Y MIGUEL DAVID 0
PARANA,AGENCIA DE LOTERIA,GUALEGUAYCHU 701
PARANA,AGENCIA DE LOTERIA,JORGE NEWBERY 		  1755
PARANA,OTROS,MITRE 300
PARANA,OTROS,MITRE 300
PARANA,CAMARA / ASOCIACION / UNION,MONTE CASEROS 255
PARANA,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,MONTE CASEROS  99
PARANA,MINIMERCADO / ALMACEN Y AFINES,PEDRO LONDERO S/N  0
PARANA,KIOSCO/ MAXIKIOSCO,PERU 29
PARANA,AGENCIA DE SEGUROS,ROBERTO ORTIZ 995
PARANA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,S DOMINGUEZ 1163
PARANA,POLIRUBRO/ MULTIVENTAS,SANTA FE  294
PARANA,AGENCIA DE LOTERIA,SANTOS DOMINGUEZ 696
PARANA,KIOSCO/ MAXIKIOSCO,STEFANIA KIEN DE SOSULA 2351
PARANA,MINIMERCADO / ALMACEN Y AFINES,TACUARI 173
PARANA,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,URQUIZA  1019
