Localidad,Sucursal,Direccion
FORMOSA,SUPERMERCADO/ HIPERMERCADO-SUCURSAL CON RETIRO DE EFECTIVO,AV MARADONA Y SANTIAGO SOMACAL S/N 0
FORMOSA,SUPERMERCADO/ HIPERMERCADO-SUCURSAL CON RETIRO DE EFECTIVO,AV. GUNITSKY  E/AV. PUEYRREDON Y BRANDSEN 3636
FORMOSA,PUESTO INTERNO,AVDA 25 DE MAYO 386
FORMOSA,FINANCIERA,BOL 18  0
FORMOSA,LOCUTORIO/ CIBER,CENTRO COMERCIAL B° GUADALUPE SECTOR 2 LOCAL 3 Y  0
FORMOSA,OTROS,DORREGO  295
FORMOSA,OTROS,DORREGO  295
FORMOSA,TELEFONIA CELULAR Y ACCESORIOS,EVA PERON  690
FORMOSA,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,EVA PERON 473
FORMOSA,COMPUTACION Y TECNOLOGIA,FONTANA 53
FORMOSA,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,GREGORIO DEAN FUNES 684
FORMOSA,OTROS,IRIGOYEN 290
FORMOSA,AGENCIA DE LOTERIA,JUJUY 340
FORMOSA,POLIRUBRO/ MULTIVENTAS,MAIPU 117
FORMOSA,LIBRERIA / JUGUETERIA / COTILLON,PARQUE INCONE 280
FORMOSA,AGENCIA DE SEGUROS,PRINGLES 823
FORMOSA,TELEFONIA CELULAR Y ACCESORIOS-SUCURSAL CON RETIRO DE EFECTIVO,RIVADAVIA 872
FORMOSA,KIOSCO/ MAXIKIOSCO,RIVADAVIA 121
FORMOSA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,SAAVEDRA  146
FORMOSA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,SALTA 2978
