Localidad,Sucursal,Direccion
SAN SALVADOR DE JUJUY,MINIMERCADO / ALMACEN Y AFINES,AZCUENAGA  28
SAN SALVADOR DE JUJUY,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,BELGRANO 969 LOCAL 4 969
SAN SALVADOR DE JUJUY,MINIMERCADO / ALMACEN Y AFINES,B° ALTO COMEDERO 35
SAN SALVADOR DE JUJUY,FINANCIERA,CRUCE DE RUTA 9 Y 66 0
SAN SALVADOR DE JUJUY,OTROS,DORREGO 295
SAN SALVADOR DE JUJUY,FINANCIERA,Dorrego  365
SAN SALVADOR DE JUJUY,PUESTO INTERNO,DORREGO  295
SAN SALVADOR DE JUJUY,OTROS,DORREGO 295
SAN SALVADOR DE JUJUY,MINIMERCADO / ALMACEN Y AFINES,FRAY LUIS BELTRAN		  84
SAN SALVADOR DE JUJUY,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,GRAL MANUEL BELGRANO 860
SAN SALVADOR DE JUJUY,FINANCIERA,Iguazú y Dorrego 0
SAN SALVADOR DE JUJUY,ESTACION DE SERVICIOS,IRIGOYEN 699 ESQ PELLEGRINI 17  0
SAN SALVADOR DE JUJUY,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,LAS VICUÑAS 587
SAN SALVADOR DE JUJUY,TELEFONIA CELULAR Y ACCESORIOS,LISANDRO DE LA TORRE 986 	  986
SAN SALVADOR DE JUJUY,MINIMERCADO / ALMACEN Y AFINES,MEXICO 481
SAN SALVADOR DE JUJUY,FINANCIERA,NECOCHEA 426
SAN SALVADOR DE JUJUY,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,Necochea  550
SAN SALVADOR DE JUJUY,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,OLACAPATO 1716
SAN SALVADOR DE JUJUY,GESTORÍA / ESTUDIO CONTABLE,PATRICIAS ARGENTINAS 341
SAN SALVADOR DE JUJUY,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,PERU 1458
SAN SALVADOR DE JUJUY,AGENCIA DE SEGUROS,SALTA 855
SAN SALVADOR DE JUJUY,FINANCIERA,ZOLARZANA ROCHA 950
