Localidad,Sucursal,Direccion
SANTA ROSA,FARMACIA / PERFUMERIA / LIMPIEZA-SUCURSAL CON RETIRO DE EFECTIVO,AV A SPINETTO 574
SANTA ROSA,INDUMENTARIA / ZAPATERIA / ACCESORIOS,AV LURO 36
SANTA ROSA,KIOSCO/ MAXIKIOSCO,AV PRES GRAL J A ROCA 86
SANTA ROSA,FARMACIA / PERFUMERIA / LIMPIEZA-SUCURSAL CON RETIRO DE EFECTIVO,AV R B DIAZ 364
SANTA ROSA,OFICINA COMERCIAL,Av. Luro 631/5  631
SANTA ROSA,AGENCIA DE LOTERIA,AV. SPINETTO 95
SANTA ROSA,FINANCIERA,Av.Luro y Corrientes 0
SANTA ROSA,PUESTO INTERNO,AVDA REP ORIENTAL DEL URUGUAY 520
SANTA ROSA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,BME MITRE 392
SANTA ROSA,MINIMERCADO / ALMACEN Y AFINES,DIAZ RAUL B 3020
SANTA ROSA,MINIMERCADO / ALMACEN Y AFINES,JOAQUIN FERRO 1394
SANTA ROSA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,PTE H YRIGOYEN 129
SANTA ROSA,LOCUTORIO/ CIBER,ROQUE SAENZ PEÑA  1544
SANTA ROSA,MINIMERCADO / ALMACEN Y AFINES,SUIPACHA 1248
SANTA ROSA,OTROS,URUGUAY  520
SANTA ROSA,OTROS,URUGUAY  520
