Localidad,Sucursal,Direccion
LA RIOJA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,25 DE MAYO 195
LA RIOJA,OTROS,9 DE JULIO 787
LA RIOJA,OTROS,9 DE JULIO 787
LA RIOJA,PUESTO INTERNO,9 DE JULIO  787
LA RIOJA,CAMARA / ASOCIACION / UNION,AV CORONEL MOLDES 0
LA RIOJA,AGENCIA DE SEGUROS,AV GOBERNADOR GORDILLO  101
LA RIOJA,CENTRO DE COBRO,AV. CIRCUNVALACION Y AV. ORTIZ DE OCAMPO 0
LA RIOJA,FARMACIA / PERFUMERIA / LIMPIEZA,av.san francisco   3246
LA RIOJA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,AVDA PRES JUAN DOMINGO PERON 619
LA RIOJA,KIOSCO/ MAXIKIOSCO,AVENIDA RAMIREZ DE VELAZCO (B° LA FLORIDA) 4043
LA RIOJA,LIBRERIA / JUGUETERIA / COTILLON,BRIG GRAL JUAN MANUEL DE ROSAS 537
LA RIOJA,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,BUENOS AIRES  154
LA RIOJA,MINIMERCADO / ALMACEN Y AFINES,BVAR.JOSE LAMADRID 392
LA RIOJA,POLIRUBRO/ MULTIVENTAS,CL ALEM LEANDRO 9020
LA RIOJA,FARMACIA / PERFUMERIA / LIMPIEZA-SUCURSAL CON RETIRO DE EFECTIVO,de bari san nicolas 406/408  406
LA RIOJA,CENTRO DE COBRO,ISLA DESCEPCION 669
LA RIOJA,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,JOAQUIN V.GONZALEZ   576
LA RIOJA,SUPERMERCADO/ HIPERMERCADO-SUCURSAL CON RETIRO DE EFECTIVO,JUSTO J. DE URQUIZA   481
LA RIOJA,FINANCIERA,O. de Ortiz y Circunvalación 0
LA RIOJA,FINANCIERA,O.Campo y Circun 0
LA RIOJA,CAMARA / ASOCIACION / UNION,RUTA NAC 38 0
LA RIOJA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,SAN FRANCISCO  197
LA RIOJA,POLIRUBRO/ MULTIVENTAS,SAN JUAN ESQ SANTA CRUZ 1256
LA RIOJA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,San Nicolas de Bari Oeste 240
LA RIOJA,AGENCIA DE SEGUROS,SANTIAGO DEL ESTERO 36
LA RIOJA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,santiago del estero   89
LA RIOJA,FINANCIERA,T OMNIBUS  0
