Localidad,Sucursal,Direccion
POSADAS,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,AV GRAL JUAN LAVALLE 2594
POSADAS,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,AV. F. E. LLAMOSAS 9650
POSADAS,PUESTO INTERNO,AV. SANTA CATALINA 2531
POSADAS,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AV. TAMBOR DE TACUARI  5158
POSADAS,MINIMERCADO / ALMACEN Y AFINES,AV. URQUIZA 4807
POSADAS,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,AV. URUGUAY 4379
POSADAS,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,AVDA CHACABUCO 4253
POSADAS,LIBRERIA / JUGUETERIA / COTILLON,AVDA LEANDRO NICEFORO ALEM 3177
POSADAS,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,AVDA VICENTE LOPEZ Y PLANES 7706
POSADAS,KIOSCO/ MAXIKIOSCO,BELGRANO 1770 LOCAL 2  1770
POSADAS,OTROS,BOLIVAR  1901
POSADAS,OTROS,BOLIVAR  1901
POSADAS,TELEFONIA CELULAR Y ACCESORIOS,ESTEBAN BENITEZ 1175
POSADAS,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,F DE AZARA 1957
POSADAS,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,FELIX DE AZARA 1530
POSADAS,PUESTO INTERNO,GRAL SIMON BOLIVAR 1901
POSADAS,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,GRAL SIMON BOLIVAR 1821
POSADAS,LIBRERIA / JUGUETERIA / COTILLON-SUCURSAL CON RETIRO DE EFECTIVO,Jauretche		  2752
POSADAS,AGENCIA DE SEGUROS,JUNIN 2054
POSADAS,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,RIVADAVIA  1697
POSADAS,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,SALTA 1620
POSADAS,AGENCIA DE TURISMO / VENTA DE PASAJES,SANTA FE 2068
POSADAS,FINANCIERA,Sta Catalina y Quaranta 0
POSADAS,FINANCIERA,Sta Catalina y Quaranta 0
