Localidad,Sucursal,Direccion
SALTA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,12 DE OCTUBRE 2352
SALTA,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,20 DE FEBERO  1398
SALTA,FINANCIERA,9 de julio y Cnel Suarez 0
SALTA,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,ADOLFO GUEMES 501   501
SALTA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,ALVARADO 		  768
SALTA,SUPERMERCADO/ HIPERMERCADO,ARGENTINO Y BATALLA DE SALTA 0
SALTA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AV DR V DE LA PLAZA 51
SALTA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,AV GRAL SAN MARTIN 820
SALTA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,AV GRAL SAN MARTIN 2099
SALTA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,AV INDEPENDENCIA 1267
SALTA,POLIRUBRO/ MULTIVENTAS,AV INDEPENDENCIA 148
SALTA,FINANCIERA,AV PALABELLA (EX COMBATIENTES DE MALVINAS) (HIPER 0
SALTA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,AV ROBERTO H SANSON 3012
SALTA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,AV SIRIA  597
SALTA,CAMARA / ASOCIACION / UNION,AV VIRREY TOLEDO 837
SALTA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,AV. ENTRE RIOS  1193
SALTA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,Av.Virrey Toledo  - AltO Noa Shoping  702
SALTA,POLIRUBRO/ MULTIVENTAS,AVDA DEL BICENTENARIO DE LA BATALLA DE SALTA 150
SALTA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AVDA FUERZA AEREA 0
SALTA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AVDA PARAGUAY 1257
SALTA,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,AVDA REP DEL LIBANO 956
SALTA,POLIRUBRO/ MULTIVENTAS,AVDA. ARMADA ARGENTINA  922
SALTA,TELEFONIA CELULAR Y ACCESORIOS-SUCURSAL CON RETIRO DE EFECTIVO,AVENIDA ENTRE RIOS  607
SALTA,POLIRUBRO/ MULTIVENTAS,AVENIDA SARMIENTO  808
SALTA,FINANCIERA,BALCARCE 25
SALTA,MINIMERCADO / ALMACEN Y AFINES,BARRIO AMPLIACION DOCENTE MANZANA 824 LOTE 04		  0
SALTA,MINIMERCADO / ALMACEN Y AFINES-SUCURSAL CON RETIRO DE EFECTIVO,BARRIO PALERMO I MZNA 434A LOTE 04 0
SALTA,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,BELGRANO  877
SALTA,POLIRUBRO/ MULTIVENTAS,BUENOS AIRES  - LOCAL 8 - 9  88
SALTA,POLIRUBRO/ MULTIVENTAS,CALLE 13 0
SALTA,POLIRUBRO/ MULTIVENTAS,CANTORES DEL ALBA  111
SALTA,OTROS,CASEROS 849
SALTA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,CASEROS 844
SALTA,PUESTO INTERNO,CASEROS 849
SALTA,OTROS,CASEROS 849
