Localidad,Sucursal,Direccion
CAUCETE,AGENCIA DE LOTERIA,9 DE JULIO 0
CAUCETE,AGENCIA DE LOTERIA,AV J JOSE BUSTOS 0
CAUCETE,POLIRUBRO/ MULTIVENTAS,BARRIO LOS OLIVOS MANZANA 7 CASA 22		  0
CAUCETE,AGENCIA DE LOTERIA,DIAG SARMIENTO 207
CAUCETE,AGENCIA DE LOTERIA,DIAG SARMIENTO 572
CAUCETE,AGENCIA DE LOTERIA,DIAG SARMIENTO 719
CAUCETE,AGENCIA DE LOTERIA,DIAG SARMIENTO 938
CAUCETE,AGENCIA DE LOTERIA,DIAG SARMIENTO 867
CAUCETE,POLIRUBRO/ MULTIVENTAS,DIAG SARMIENTO 375
CAUCETE,FINANCIERA,DIAGONAL SARMIENTO 987
CAUCETE,POLIRUBRO/ MULTIVENTAS,Fermin Rodriguez   511
