Localidad,Sucursal,Direccion
CHIMBAS,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO, MENDOZA LOCAL 25  284
CHIMBAS,AGENCIA DE LOTERIA,AV BENAVIDEZ OESTE 1449
CHIMBAS,AGENCIA DE LOTERIA,AV BENAVIDEZ OESTE 5138
CHIMBAS,CENTRO DE COBRO,Av. Mendoza  1130
CHIMBAS,AGENCIA DE LOTERIA,E FERNANDEZ NORTE 2
CHIMBAS,AGENCIA DE LOTERIA,MENDOZA NORTE 2430
CHIMBAS,AGENCIA DE LOTERIA,MENDOZA NORTE 13
CHIMBAS,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,MENDOZA NORTE 799
CHIMBAS,AGENCIA DE LOTERIA,MENDOZA NORTE 1200
CHIMBAS,AGENCIA DE LOTERIA,MENDOZA NORTE 2430
CHIMBAS,AGENCIA DE LOTERIA,SALTA  17
CHIMBAS,AGENCIA DE LOTERIA,SALTA 1500 NORTE Y 25 DE MAYO 0
