Localidad,Sucursal,Direccion
ROSARIO,CENTRO DE COBRO,27 DE FEBRERO 5893
ROSARIO,OTROS,3 DE FEBRERO 1019
ROSARIO,SUPERMERCADO/ HIPERMERCADO-SUCURSAL CON RETIRO DE EFECTIVO,3 DE FEBRERO 1602
ROSARIO,KIOSCO/ MAXIKIOSCO,3 DE FEBRERO 1435
ROSARIO,CAMARA / ASOCIACION / UNION,9 DE JULIO 1264
ROSARIO,AGENCIA DE SEGUROS,ALVEAR 930
ROSARIO,AGENCIA DE SEGUROS,ALVEAR 930
ROSARIO,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,AMENABAR 		  3501
ROSARIO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,ARIJON  2570
ROSARIO,AGENCIA DE LOTERIA,AV BAT DE AYACUCHO 5232
ROSARIO,POLIRUBRO/ MULTIVENTAS,AV C PELLEGRINI 1518
ROSARIO,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,AV PELLEGRINI	  386
ROSARIO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,Av. Casiano Casas		  2061
ROSARIO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,AV. FRANCIA 		  1064
ROSARIO,LOCUTORIO/ CIBER,Av. Pellegrini 1174
ROSARIO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,AV. PRESID. PERON  3281
ROSARIO,CENTRO DE COBRO,AVDA CARLOS PELLEGRINI 3451
ROSARIO,CENTRO DE COBRO,AVDA FRANCIA 2640
ROSARIO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,AVDA OVIDIO LAGOS 2880
ROSARIO,CAMARA / ASOCIACION / UNION,AVDA SAN MARTIN 1051
ROSARIO,MINIMERCADO / ALMACEN Y AFINES,AVELLANEDA 1053
ROSARIO,AGENCIA DE SEGUROS,AVELLANEDA 2054
ROSARIO,CENTRO DE COBRO,AYACUCHO 5752
ROSARIO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,AYOLAS 269
ROSARIO,AGENCIA DE LOTERIA,Baigorria 2356
ROSARIO,AGENCIA DE LOTERIA,BALCARCE   2740
ROSARIO,LIBRERIA / JUGUETERIA / COTILLON,BIEDMA  3896
ROSARIO,CAMARA / ASOCIACION / UNION,BORDABEHERE 3655
ROSARIO,AGENCIA DE LOTERIA,BV GRAL JOSE RONDEAU 1784
ROSARIO,SUPERMERCADO/ HIPERMERCADO-SUCURSAL CON RETIRO DE EFECTIVO,BV N OROÑO 3478
ROSARIO,OTROS,BV SEGUI 3718
ROSARIO,CENTRO DE COBRO,BV SEGUI 5327
ROSARIO,AGENCIA DE SEGUROS,BV SEGUI 3157
ROSARIO,AGENCIA DE LOTERIA,C. ALDAO 691 BIS 	  691
ROSARIO,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,CABAL BIS 1081
ROSARIO,FINANCIERA,Cafferata 702 0
ROSARIO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,Castro Barros 5278 	  5278
ROSARIO,KIOSCO/ MAXIKIOSCO,COMENIUS 8212
ROSARIO,CAMARA / ASOCIACION / UNION,CORDOBA 1080
ROSARIO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,CORRIENTES 956
ROSARIO,CAMARA / ASOCIACION / UNION,Corrientes 715 local 5 715
ROSARIO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,DEL VALLE IBERLUCEA 1392
ROSARIO,AGENCIA DE LOTERIA,DR ADOLFO ALSINA 1984
ROSARIO,PUESTO INTERNO,DR J CAFFERATA 937
ROSARIO,CAMARA / ASOCIACION / UNION,DR M MORENO 549
ROSARIO,POLIRUBRO/ MULTIVENTAS,ECUADOR 		  902
ROSARIO,CENTRO DE COBRO,ENTRE RIOS 543
ROSARIO,POLIRUBRO/ MULTIVENTAS,ENTRE RIOS 1043
ROSARIO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,ESPAÑA 675
ROSARIO,CAMARA / ASOCIACION / UNION,ESPAÑA 401
ROSARIO,POLIRUBRO/ MULTIVENTAS,ESTEBAN AGUSTIN GASCON 2932
ROSARIO,FARMACIA / PERFUMERIA / LIMPIEZA,FRANCISCO NARCISO DE LAPRIDA 989
ROSARIO,AGENCIA DE LOTERIA,GRAL CARLOS MARIA DE ALVEAR 483
ROSARIO,AGENCIA DE LOTERIA,GRAL MARIANO NECOCHEA 3102
ROSARIO,SUPERMERCADO/ HIPERMERCADO-SUCURSAL CON RETIRO DE EFECTIVO,GRAL SAN MARTIN 3419
ROSARIO,AGENCIA DE LOTERIA,GUTIERREZ 49
ROSARIO,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,ITALIA 2020
ROSARIO,RIC (RAPIPAGO IN COMPANY),ITALIA 646
ROSARIO,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,JJ PASO 6169
ROSARIO,SUPERMERCADO/ HIPERMERCADO,JUNIN Y THEDDY  0
ROSARIO,MINIMERCADO / ALMACEN Y AFINES,Larrea		  1892
ROSARIO,CENTRO DE COBRO,LINIERS 679
ROSARIO,CAMARA / ASOCIACION / UNION,Maipu  748
ROSARIO,LOCUTORIO/ CIBER,Mendoza	  4882
ROSARIO,MINIMERCADO / ALMACEN Y AFINES,Mendoza 7906
ROSARIO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,MENDOZA 7154
ROSARIO,KIOSCO/ MAXIKIOSCO,MENDOZA 2019
ROSARIO,AGENCIA DE LOTERIA,Mendoza   1978
ROSARIO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,MendOZA 3254
ROSARIO,KIOSCO/ MAXIKIOSCO,MENDOZA 2706
ROSARIO,FARMACIA / PERFUMERIA / LIMPIEZA-SUCURSAL CON RETIRO DE EFECTIVO,MENDOZA 6035
ROSARIO,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,MITRE 821
ROSARIO,COMPUTACION Y TECNOLOGIA-SUCURSAL CON RETIRO DE EFECTIVO,MONTEVIDEO 1901
ROSARIO,CENTRO DE COBRO,NANSEN 323
ROSARIO,AGENCIA DE LOTERIA,NECOCHEA 1792
ROSARIO,MINIMERCADO / ALMACEN Y AFINES,OLIVE 845
ROSARIO,SUPERMERCADO/ HIPERMERCADO-SUCURSAL CON RETIRO DE EFECTIVO,Oroño y Batlle y Ordoñez 0
ROSARIO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,Paraguay  270
ROSARIO,POLIRUBRO/ MULTIVENTAS,PARAGUAY 1024
ROSARIO,AGENCIA DE LOTERIA,PATRIA 2373
ROSARIO,KIOSCO/ MAXIKIOSCO,PEDRO MONZON 0
ROSARIO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,PELLEGRINI 1393
ROSARIO,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,PRIMERO DE MAYO		  2129
ROSARIO,AGENCIA DE LOTERIA,Pueyrredon  1276
ROSARIO,GESTORÍA / ESTUDIO CONTABLE,REP ORIENTAL DEL URUGUAY 2505
ROSARIO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,RIOJA 1956
ROSARIO,CENTRO DE COBRO,RIVAROLA S/N 0
ROSARIO,KIOSCO/ MAXIKIOSCO,RONDEAU 1283
ROSARIO,AGENCIA DE LOTERIA,SAAVEDRA  3115
ROSARIO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,SALTA 1922
ROSARIO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,SAN JUAN 1753
ROSARIO,BANCO,SAN LORENZO 1133
ROSARIO,KIOSCO/ MAXIKIOSCO,SAN MARTIN 2672
ROSARIO,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,SAN MARTIN 1207
ROSARIO,CAMARA / ASOCIACION / UNION,SAN MARTIN 876
ROSARIO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,SANTA FE  1146
ROSARIO,AGENCIA DE SEGUROS,SANTIAGO 1129
ROSARIO,CAMARA / ASOCIACION / UNION,SARMIENTO 1079
ROSARIO,CENTRO DE COBRO,SOLIS Y 27 DE FEBRERO S/N 0
ROSARIO,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,URQUIZA 1062
ROSARIO,CENTRO DE COBRO,VENEZUELA BIS 114
ROSARIO,CAMARA / ASOCIACION / UNION,VIRASORO 5198
ROSARIO,MINIMERCADO / ALMACEN Y AFINES,ZELAYA 1136
