Localidad,Sucursal,Direccion
SANTA FE,MINIMERCADO / ALMACEN Y AFINES,1 DE MAYO 1486
SANTA FE,KIOSCO/ MAXIKIOSCO,25 DE MAYO 3017
SANTA FE,CAMARA / ASOCIACION / UNION-SUCURSAL CON RETIRO DE EFECTIVO,25 DE MAYO 2241
SANTA FE,CAMARA / ASOCIACION / UNION,3 DE ENERO 2284
SANTA FE,LIBRERIA / JUGUETERIA / COTILLON,4 de Enero 		  3001
SANTA FE,OTROS,4 DE ENERO 3228
SANTA FE,PUESTO INTERNO,4 DE ENERO 3228
SANTA FE,OTROS,4 DE ENERO 3228
SANTA FE,KIOSCO/ MAXIKIOSCO,9 DE JULIO 2285
SANTA FE,AGENCIA DE LOTERIA,ARISTOBULO DEL VALLE 5531
SANTA FE,FARMACIA / PERFUMERIA / LIMPIEZA-SUCURSAL CON RETIRO DE EFECTIVO,AV F DE ZUVIRIA 5323
SANTA FE,AGENCIA DE LOTERIA,AV GRAL PAZ 6051
SANTA FE,POLIRUBRO/ MULTIVENTAS,Av.Galicia  1321
SANTA FE,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,Av.Gobernador Freyre 		  1803
SANTA FE,FINANCIERA,Belgrano 2910
SANTA FE,FINANCIERA,Belgrano  2910
SANTA FE,FARMACIA / PERFUMERIA / LIMPIEZA,Bernardo de Irigoyen 9155
SANTA FE,KIOSCO/ MAXIKIOSCO,BLAS PAREDA 		  6751
SANTA FE,KIOSCO/ MAXIKIOSCO,DORREGO 3499
SANTA FE,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,DR J CAFFERATA 8302
SANTA FE,MINIMERCADO / ALMACEN Y AFINES-SUCURSAL CON RETIRO DE EFECTIVO,ESPORA 3016
SANTA FE,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,GOBERNADOR IRIONDO 2257
SANTA FE,AGENCIA DE SEGUROS,GRAL CORNELIO SAAVEDRA 1876
SANTA FE,AGENCIA DE SEGUROS,GRAL JUAN LAVALLE 4445
SANTA FE,CAMARA / ASOCIACION / UNION,IRIGOYEN FREYRE 3063
SANTA FE,MINIMERCADO / ALMACEN Y AFINES,LA MADRID 10541
SANTA FE,KIOSCO/ MAXIKIOSCO,LA RIOJA 2650
SANTA FE,OTROS,LOPEZ Y PLANEZ  4782
SANTA FE,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,MENDOZA		  3249
SANTA FE,AGENCIA DE SEGUROS,MENDOZA 7280
SANTA FE,POLIRUBRO/ MULTIVENTAS,O. BONEO 3190
SANTA FE,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,P VITTORI 3803
SANTA FE,AGENCIA DE SEGUROS,PEDRO FERRE 2406
SANTA FE,KIOSCO/ MAXIKIOSCO,PRES BERNARDINO RIVADAVIA 3300
SANTA FE,KIOSCO/ MAXIKIOSCO,PRES GRAL JULIO ARGENTINO ROCA 3152
SANTA FE,KIOSCO/ MAXIKIOSCO,Primera Junta 2505
SANTA FE,TELEFONIA CELULAR Y ACCESORIOS,SAN JERONIMO 2798
SANTA FE,LIBRERIA / JUGUETERIA / COTILLON,San Jeronimo 3199
SANTA FE,CAMARA / ASOCIACION / UNION,SAN MARTIN 2686
SANTA FE,MINIMERCADO / ALMACEN Y AFINES,SAN MARTIN 2254
