Localidad,Sucursal,Direccion
CONCEPCION,FINANCIERA,   PRESIDENTE ROCA 50-LOCAL8  0
CONCEPCION,FINANCIERA,9 DE JULIO 62
CONCEPCION,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,CATAMARCA 608
CONCEPCION,POLIRUBRO/ MULTIVENTAS,FRANCIA 1333
CONCEPCION,MINIMERCADO / ALMACEN Y AFINES,GREGORIA MATORRAS 327
CONCEPCION,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,ITALIA 1361
CONCEPCION,LIBRERIA / JUGUETERIA / COTILLON,ITALIA 1266
CONCEPCION,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,ITALIA 1147
CONCEPCION,MINIMERCADO / ALMACEN Y AFINES-SUCURSAL CON RETIRO DE EFECTIVO,MARIANO MORENO		  1290
CONCEPCION,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,NASIF ESTEFANO 119
