Localidad,Sucursal,Direccion
SAN MIGUEL DE TUCUMAN,POLIRUBRO/ MULTIVENTAS, MARINA ALFARO  1092
SAN MIGUEL DE TUCUMAN,MINIMERCADO / ALMACEN Y AFINES-SUCURSAL CON RETIRO DE EFECTIVO,24 DE SEPTIEMBRE 125
SAN MIGUEL DE TUCUMAN,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,24 DE SEPTIEMBRE 910
SAN MIGUEL DE TUCUMAN,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,25 DE MAYO DE 1810 319
SAN MIGUEL DE TUCUMAN,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,AV BELGRANO		  2755
SAN MIGUEL DE TUCUMAN,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,AV BELGRANO 3598
SAN MIGUEL DE TUCUMAN,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,AV D F SARMIENTO 745
SAN MIGUEL DE TUCUMAN,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,AV DR JUAN BAUTISTA JUSTO 1149
SAN MIGUEL DE TUCUMAN,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,AV DR JUAN BAUTISTA JUSTO 924
SAN MIGUEL DE TUCUMAN,SUPERMERCADO/ HIPERMERCADO-SUCURSAL CON RETIRO DE EFECTIVO,AV EJERCITO DEL NORTE 0
SAN MIGUEL DE TUCUMAN,AGENCIA DE SEGUROS,AV EJERCITO DEL NORTE 727
SAN MIGUEL DE TUCUMAN,CENTRO DE COBRO,AV JUAN B JUSTO 3380
SAN MIGUEL DE TUCUMAN,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,AV JUAN B JUSTO 1522   1522
SAN MIGUEL DE TUCUMAN,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,AV JUJUY Y DEMOCRACI- 0
SAN MIGUEL DE TUCUMAN,FARMACIA / PERFUMERIA / LIMPIEZA-SUCURSAL CON RETIRO DE EFECTIVO,AV PRES GRAL J A ROCA 250
SAN MIGUEL DE TUCUMAN,FINANCIERA,AV PRES GRAL J A ROCA 3458
SAN MIGUEL DE TUCUMAN,POLIRUBRO/ MULTIVENTAS,AV. PTE. N. KIRCHNER		  1771
SAN MIGUEL DE TUCUMAN,FINANCIERA,AV. ROCA  3450
SAN MIGUEL DE TUCUMAN,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,AV.DR. JUAN B. JUSTO 		  2002
SAN MIGUEL DE TUCUMAN,KIOSCO/ MAXIKIOSCO,AVDA 24 DE SEPTIEMBRE 380
SAN MIGUEL DE TUCUMAN,POLIRUBRO/ MULTIVENTAS,AVDA 24 DE SEPTIEMBRE 1029
SAN MIGUEL DE TUCUMAN,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AVDA BARTOLOME MITRE 829
SAN MIGUEL DE TUCUMAN,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,AVDA BRIGIDO TERAN 12
